Garis Kemiskinan Menurut Kabupaten Kota (Rupiah/Kapita/Bulan),,
NAMA WILAYAH,TAHUN,GARIS KEMISKINAN (Rupiah/Kapita/Bulan)
SUMATERA UTARA,2019,466122
SUMATERA UTARA,2020,502904
SUMATERA UTARA,2021,525756
SUMATERA UTARA,2022,561004
SUMATERA UTARA,2023,602999
NIAS,2016,330111
NIAS,2017,346374
NIAS,2018,353141
NIAS,2019,361698
NIAS,2020,405355
NIAS,2021,428739
NIAS,2022,454570
NIAS,2023,485533
MANDAILING NATAL,2016,304669
MANDAILING NATAL,2017,319777
MANDAILING NATAL,2018,336820
MANDAILING NATAL,2019,356058
MANDAILING NATAL,2020,400721
MANDAILING NATAL,2021,423017
MANDAILING NATAL,2022,450345
MANDAILING NATAL,2023,487436
TAPANULI SELATAN,2016,326321
TAPANULI SELATAN,2017,340065
TAPANULI SELATAN,2018,343407
TAPANULI SELATAN,2019,364798
TAPANULI SELATAN,2020,397363
TAPANULI SELATAN,2021,420431
TAPANULI SELATAN,2022,445612
TAPANULI SELATAN,2023,480834
TAPANULI TENGAH,2016,353753
TAPANULI TENGAH,2017,367687
TAPANULI TENGAH,2018,369471
TAPANULI TENGAH,2019,376474
TAPANULI TENGAH,2020,406646
TAPANULI TENGAH,2021,429050
TAPANULI TENGAH,2022,450940
TAPANULI TENGAH,2023,489760
TAPANULI UTARA,2016,325606
TAPANULI UTARA,2017,344644
TAPANULI UTARA,2018,357464
TAPANULI UTARA,2019,377948
TAPANULI UTARA,2020,406813
TAPANULI UTARA,2021,437428
TAPANULI UTARA,2022,466316
TAPANULI UTARA,2023,499881
TOBA SAMOSIR,2016,326501
TOBA SAMOSIR,2017,345591
TOBA SAMOSIR,2018,352860
TOBA SAMOSIR,2019,373020
TOBA SAMOSIR,2020,404864
TOBA SAMOSIR,2021,435332
TOBA SAMOSIR,2022,465681
TOBA SAMOSIR,2023,496950
LABUHAN BATU,2016,333144
LABUHAN BATU,2017,352622
LABUHAN BATU,2018,368357
LABUHAN BATU,2019,389402
LABUHAN BATU,2020,425035
LABUHAN BATU,2021,457021
LABUHAN BATU,2022,489503
LABUHAN BATU,2023,524240
ASAHAN,2016,292030
ASAHAN,2017,305868
ASAHAN,2018,315420
ASAHAN,2019,330460
ASAHAN,2020,351314
ASAHAN,2021,377752
ASAHAN,2022,397944
ASAHAN,2023,427293
SIMALUNGUN,2016,315947
SIMALUNGUN,2017,331860
SIMALUNGUN,2018,342477
SIMALUNGUN,2019,359540
SIMALUNGUN,2020,387549
SIMALUNGUN,2021,416714
SIMALUNGUN,2022,441744
SIMALUNGUN,2023,467926
DAIRI,2016,293666
DAIRI,2017,310836
DAIRI,2018,325176
DAIRI,2019,341511
DAIRI,2020,380275
DAIRI,2021,408893
DAIRI,2022,436713
DAIRI,2023,463360
KARO,2016,400261
KARO,2017,423663
KARO,2018,437702
KARO,2019,460870
KARO,2020,500921
