Garis Kemiskinan Menurut Kabupaten Kota (Rupiah/Kapita/Bulan),,
NAMA WILAYAH,TAHUN,GARIS KEMISKINAN (Rupiah/Kapita/Bulan)
KOTA SUNGAI PENUH,2019,373673
KOTA SUNGAI PENUH,2020,401966
KOTA SUNGAI PENUH,2021,426380
KOTA SUNGAI PENUH,2022,450708
KOTA SUNGAI PENUH,2023,491568
SUMATERA SELATAN,2016,351984
SUMATERA SELATAN,2017,370060
SUMATERA SELATAN,2018,397150
SUMATERA SELATAN,2019,410532
SUMATERA SELATAN,2020,439041
SUMATERA SELATAN,2021,457455
SUMATERA SELATAN,2022,485069
SUMATERA SELATAN,2023,520754
OGAN KOMERING ULU,2016,365341
OGAN KOMERING ULU,2017,380254
OGAN KOMERING ULU,2018,415785
OGAN KOMERING ULU,2019,428200
OGAN KOMERING ULU,2020,457452
OGAN KOMERING ULU,2021,481139
OGAN KOMERING ULU,2022,511887
OGAN KOMERING ULU,2023,548200
OGAN KOMERING ILIR,2016,295852
OGAN KOMERING ILIR,2017,310341
OGAN KOMERING ILIR,2018,333505
OGAN KOMERING ILIR,2019,347121
OGAN KOMERING ILIR,2020,375837
OGAN KOMERING ILIR,2021,393240
OGAN KOMERING ILIR,2022,416417
OGAN KOMERING ILIR,2023,444881
MUARA ENIM,2016,316729
MUARA ENIM,2017,331554
MUARA ENIM,2018,353012
MUARA ENIM,2019,367761
MUARA ENIM,2020,390342
MUARA ENIM,2021,405782
MUARA ENIM,2022,426216
MUARA ENIM,2023,467396
LAHAT,2016,369359
LAHAT,2017,385525
LAHAT,2018,419658
LAHAT,2019,428309
LAHAT,2020,457569
LAHAT,2021,485142
LAHAT,2022,513085
LAHAT,2023,547203
MUSI RAWAS,2016,377135
MUSI RAWAS,2017,392740
MUSI RAWAS,2018,427595
MUSI RAWAS,2019,437854
MUSI RAWAS,2020,467766
MUSI RAWAS,2021,493675
MUSI RAWAS,2022,524110
MUSI RAWAS,2023,564151
MUSI BANYUASIN,2016,412591
MUSI BANYUASIN,2017,430771
MUSI BANYUASIN,2018,466822
MUSI BANYUASIN,2019,486476
MUSI BANYUASIN,2020,519797
MUSI BANYUASIN,2021,537774
MUSI BANYUASIN,2022,566393
MUSI BANYUASIN,2023,593258
BANYU ASIN,2016,337391
BANYU ASIN,2017,353914
BANYU ASIN,2018,381437
BANYU ASIN,2019,397496
BANYU ASIN,2020,429816
BANYU ASIN,2021,445089
BANYU ASIN,2022,477393
BANYU ASIN,2023,509264
OGAN KOMERING ULU SELATAN,2016,273594
OGAN KOMERING ULU SELATAN,2017,286157
OGAN KOMERING ULU SELATAN,2018,310717
OGAN KOMERING ULU SELATAN,2019,319333
OGAN KOMERING ULU SELATAN,2020,341148
OGAN KOMERING ULU SELATAN,2021,359859
OGAN KOMERING ULU SELATAN,2022,379854
OGAN KOMERING ULU SELATAN,2023,413228
OGAN KOMERING ULU TIMUR,2016,274608
OGAN KOMERING ULU TIMUR,2017,285970
OGAN KOMERING ULU TIMUR,2018,312340
OGAN KOMERING ULU TIMUR,2019,321629
OGAN KOMERING ULU TIMUR,2020,343601
OGAN KOMERING ULU TIMUR,2021,362446
OGAN KOMERING ULU TIMUR,2022,383463
OGAN KOMERING ULU TIMUR,2023,410548
OGAN ILIR,2016,367067
OGAN ILIR,2017,386740
OGAN ILIR,2018,416098
OGAN ILIR,2019,433616
OGAN ILIR,2020,469746
OGAN ILIR,2021,492537
OGAN ILIR,2022,523864
OGAN ILIR,2023,571657
EMPAT LAWANG,2016,269211
EMPAT LAWANG,2017,280350
EMPAT LAWANG,2018,306546
EMPAT LAWANG,2019,315699
EMPAT LAWANG,2020,341007
EMPAT LAWANG,2021,360378
EMPAT LAWANG,2022,384199
EMPAT LAWANG,2023,411191
PENUKAL ABAB LEMATANG ILIR,2016,330907
PENUKAL ABAB LEMATANG ILIR,2017,346448
PENUKAL ABAB LEMATANG ILIR,2018,377160
PENUKAL ABAB LEMATANG ILIR,2019,388208
PENUKAL ABAB LEMATANG ILIR,2020,412236
PENUKAL ABAB LEMATANG ILIR,2021,435379
PENUKAL ABAB LEMATANG ILIR,2022,458746
PENUKAL ABAB LEMATANG ILIR,2023,487341
MUSI RAWAS UTARA,2016,401205
MUSI RAWAS UTARA,2017,417805
MUSI RAWAS UTARA,2018,456844
MUSI RAWAS UTARA,2019,470485
MUSI RAWAS UTARA,2020,504598
MUSI RAWAS UTARA,2021,532273
MUSI RAWAS UTARA,2022,565070
MUSI RAWAS UTARA,2023,604903
KOTA PALEMBANG,2016,456225
KOTA PALEMBANG,2017,480735
KOTA PALEMBANG,2018,510994
KOTA PALEMBANG,2019,521489
KOTA PALEMBANG,2020,548563
KOTA PALEMBANG,2021,567518
KOTA PALEMBANG,2022,597136
KOTA PALEMBANG,2023,643356
KOTA PRABUMULIH,2016,466459
KOTA PRABUMULIH,2017,493871
KOTA PRABUMULIH,2018,530748
KOTA PRABUMULIH,2019,541648
KOTA PRABUMULIH,2020,569769
KOTA PRABUMULIH,2021,592210
KOTA PRABUMULIH,2022,623429
KOTA PRABUMULIH,2023,649951
KOTA PAGAR ALAM,2016,289493
KOTA PAGAR ALAM,2017,299982
KOTA PAGAR ALAM,2018,324025
KOTA PAGAR ALAM,2019,328745
KOTA PAGAR ALAM,2020,342738
KOTA PAGAR ALAM,2021,356287
KOTA PAGAR ALAM,2022,370417
KOTA PAGAR ALAM,2023,408917
KOTA LUBUKLINGGAU,2016,417192
KOTA LUBUKLINGGAU,2017,435956
KOTA LUBUKLINGGAU,2018,470897
KOTA LUBUKLINGGAU,2019,477756
KOTA LUBUKLINGGAU,2020,495213
KOTA LUBUKLINGGAU,2021,516763
KOTA LUBUKLINGGAU,2022,541784
KOTA LUBUKLINGGAU,2023,583867
BENGKULU,2016,416427
BENGKULU,2017,450648
BENGKULU,2018,481425
BENGKULU,2019,499660
BENGKULU,2020,527031
BENGKULU,2021,548934
BENGKULU,2022,590754
BENGKULU,2023,637142
BENGKULU SELATAN,2016,323991
BENGKULU SELATAN,2017,346595
BENGKULU SELATAN,2018,364888
BENGKULU SELATAN,2019,377823
BENGKULU SELATAN,2020,394513
BENGKULU SELATAN,2021,408904
BENGKULU SELATAN,2022,435955
BENGKULU SELATAN,2023,467762
REJANG LEBONG,2016,382027
REJANG LEBONG,2017,408680
REJANG LEBONG,2018,434643
REJANG LEBONG,2019,449999
REJANG LEBONG,2020,472555
REJANG LEBONG,2021,487490
REJANG LEBONG,2022,530029
REJANG LEBONG,2023,566433
BENGKULU UTARA,2016,333311
BENGKULU UTARA,2017,356566
BENGKULU UTARA,2018,359264
BENGKULU UTARA,2019,369367
BENGKULU UTARA,2020,387881
BENGKULU UTARA,2021,398746
BENGKULU UTARA,2022,423857
BENGKULU UTARA,2023,459171
KAUR,2016,289374
KAUR,2017,310047
KAUR,2018,317558
KAUR,2019,322815
KAUR,2020,338451
KAUR,2021,350794
KAUR,2022,371660
KAUR,2023,415715
SELUMA,2016,332483
SELUMA,2017,355680
SELUMA,2018,377647
SELUMA,2019,386321
SELUMA,2020,400090
SELUMA,2021,414446
SELUMA,2022,444931
SELUMA,2023,478617
MUKOMUKO,2016,365084
MUKOMUKO,2017,388823
MUKOMUKO,2018,411795
MUKOMUKO,2019,426737
MUKOMUKO,2020,448127
MUKOMUKO,2021,464473
MUKOMUKO,2022,494426
MUKOMUKO,2023,534660
LEBONG,2016,339045
LEBONG,2017,362700
LEBONG,2018,389973
LEBONG,2019,404368
LEBONG,2020,424637
LEBONG,2021,440127
LEBONG,2022,472738
LEBONG,2023,507046
KEPAHIANG,2016,323333
KEPAHIANG,2017,348238
KEPAHIANG,2018,361281
KEPAHIANG,2019,374568
KEPAHIANG,2020,396184
KEPAHIANG,2021,410569
KEPAHIANG,2022,433660
KEPAHIANG,2023,465292
BENGKULU TENGAH,2016,342162
BENGKULU TENGAH,2017,366034
BENGKULU TENGAH,2018,389821
BENGKULU TENGAH,2019,406137
BENGKULU TENGAH,2020,431688
BENGKULU TENGAH,2021,447435
BENGKULU TENGAH,2022,512084
BENGKULU TENGAH,2023,549468
KOTA BENGKULU,2016,535893
KOTA BENGKULU,2017,584265
KOTA BENGKULU,2018,642314
KOTA BENGKULU,2019,660442
KOTA BENGKULU,2020,702578
KOTA BENGKULU,2021,740612
KOTA BENGKULU,2022,785905
KOTA BENGKULU,2023,810507
LAMPUNG,2016,364922
LAMPUNG,2017,384882
LAMPUNG,2018,402307
LAMPUNG,2019,418309
LAMPUNG,2020,453733
LAMPUNG,2021,471439
LAMPUNG,2022,514039
LAMPUNG,2023,559011
LAMPUNG BARAT,2016,371926
LAMPUNG BARAT,2017,382576
LAMPUNG BARAT,2018,391444
LAMPUNG BARAT,2019,400662
LAMPUNG BARAT,2020,443313
LAMPUNG BARAT,2021,457478
LAMPUNG BARAT,2022,495283
LAMPUNG BARAT,2023,530803
TANGGAMUS,2016,332302
TANGGAMUS,2017,341443
TANGGAMUS,2018,351167
TANGGAMUS,2019,359580
TANGGAMUS,2020,397984
TANGGAMUS,2021,410510
TANGGAMUS,2022,430697
TANGGAMUS,2023,463925
LAMPUNG SELATAN,2016,346457
LAMPUNG SELATAN,2017,360594
LAMPUNG SELATAN,2018,375868
LAMPUNG SELATAN,2019,389236
LAMPUNG SELATAN,2020,422328
LAMPUNG SELATAN,2021,439421
LAMPUNG SELATAN,2022,470857
LAMPUNG SELATAN,2023,508494
LAMPUNG TIMUR,2016,331765
LAMPUNG TIMUR,2017,342295
LAMPUNG TIMUR,2018,352173
LAMPUNG TIMUR,2019,360610
LAMPUNG TIMUR,2020,398298
LAMPUNG TIMUR,2021,411200
LAMPUNG TIMUR,2022,433965
LAMPUNG TIMUR,2023,465856
LAMPUNG TENGAH,2016,362475
LAMPUNG TENGAH,2017,373980
LAMPUNG TENGAH,2018,385132
LAMPUNG TENGAH,2019,394338
LAMPUNG TENGAH,2020,436777
LAMPUNG TENGAH,2021,450232
LAMPUNG TENGAH,2022,474289
LAMPUNG TENGAH,2023,503645
LAMPUNG UTARA,2016,369628
LAMPUNG UTARA,2017,379962
LAMPUNG UTARA,2018,390927
LAMPUNG UTARA,2019,400248
LAMPUNG UTARA,2020,441045
LAMPUNG UTARA,2021,451876
LAMPUNG UTARA,2022,475290
LAMPUNG UTARA,2023,510098
WAY KANAN,2016,313733
WAY KANAN,2017,323691
WAY KANAN,2018,333033
WAY KANAN,2019,341012
WAY KANAN,2020,377712
WAY KANAN,2021,389088
WAY KANAN,2022,409522
WAY KANAN,2023,433471
TULANGBAWANG,2016,362185
TULANGBAWANG,2017,373681
TULANGBAWANG,2018,384465
TULANGBAWANG,2019,393676
TULANGBAWANG,2020,438744
TULANGBAWANG,2021,456567
TULANGBAWANG,2022,486739
TULANGBAWANG,2023,522396
PESAWARAN,2016,330874
PESAWARAN,2017,347215
PESAWARAN,2018,360909
PESAWARAN,2019,372649
PESAWARAN,2020,403441
PESAWARAN,2021,420032
PESAWARAN,2022,452521
PESAWARAN,2023,491249
PRINGSEWU,2016,379279
PRINGSEWU,2017,398830
PRINGSEWU,2018,408174
PRINGSEWU,2019,422691
PRINGSEWU,2020,458627
PRINGSEWU,2021,475983
PRINGSEWU,2022,511679
PRINGSEWU,2023,555787
MESUJI,2016,353477
MESUJI,2017,360105
MESUJI,2018,370497
MESUJI,2019,382020
MESUJI,2020,423133
MESUJI,2021,436653
MESUJI,2022,459977
MESUJI,2023,525183
TULANG BAWANG BARAT,2016,358939
TULANG BAWANG BARAT,2017,370332
TULANG BAWANG BARAT,2018,384933
TULANG BAWANG BARAT,2019,391096
TULANG BAWANG BARAT,2020,432693
TULANG BAWANG BARAT,2021,447327
TULANG BAWANG BARAT,2022,476712
TULANG BAWANG BARAT,2023,511418
PESISIR BARAT,2016,371724
PESISIR BARAT,2017,390885
PESISIR BARAT,2018,393302
PESISIR BARAT,2019,407290
PESISIR BARAT,2020,441917
PESISIR BARAT,2021,460090
PESISIR BARAT,2022,496629
PESISIR BARAT,2023,545538
KOTA BANDAR LAMPUNG,2016,502968
KOTA BANDAR LAMPUNG,2017,540679
KOTA BANDAR LAMPUNG,2018,562277
KOTA BANDAR LAMPUNG,2019,588177
KOTA BANDAR LAMPUNG,2020,634743
KOTA BANDAR LAMPUNG,2021,654576
KOTA BANDAR LAMPUNG,2022,698598
KOTA BANDAR LAMPUNG,2023,761790
KOTA METRO,2016,331201
KOTA METRO,2017,346491
KOTA METRO,2018,360656
KOTA METRO,2019,371636
KOTA METRO,2020,406351
KOTA METRO,2021,417861
KOTA METRO,2022,449415
KOTA METRO,2023,480830
KEP. BANGKA BELITUNG,2016,534229
KEP. BANGKA BELITUNG,2017,587530
KEP. BANGKA BELITUNG,2018,631467
KEP. BANGKA BELITUNG,2019,677716
KEP. BANGKA BELITUNG,2020,721455
KEP. BANGKA BELITUNG,2021,752203
KEP. BANGKA BELITUNG,2022,801437
KEP. BANGKA BELITUNG,2023,874204
BANGKA,2016,427684
BANGKA,2017,475024
BANGKA,2018,497164
BANGKA,2019,541925
BANGKA,2020,577093
BANGKA,2021,595429
BANGKA,2022,639535
BANGKA,2023,685810
BELITUNG,2016,610072
BELITUNG,2017,652989
BELITUNG,2018,704855
BELITUNG,2019,766276
BELITUNG,2020,812321
BELITUNG,2021,830484
BELITUNG,2022,860629
BELITUNG,2023,896948
BANGKA BARAT,2016,440850
BANGKA BARAT,2017,497567
BANGKA BARAT,2018,520642
BANGKA BARAT,2019,549496
BANGKA BARAT,2020,589894
BANGKA BARAT,2021,599887
BANGKA BARAT,2022,635861
BANGKA BARAT,2023,681517
BANGKA TENGAH,2016,586445
BANGKA TENGAH,2017,653308
BANGKA TENGAH,2018,680907
BANGKA TENGAH,2019,693842
BANGKA TENGAH,2020,721331
BANGKA TENGAH,2021,735479
BANGKA TENGAH,2022,773509
BANGKA TENGAH,2023,814969
BANGKA SELATAN,2016,415359
BANGKA SELATAN,2017,462716
BANGKA SELATAN,2018,483823
BANGKA SELATAN,2019,523155
BANGKA SELATAN,2020,561617
BANGKA SELATAN,2021,581970
BANGKA SELATAN,2022,621629
BANGKA SELATAN,2023,669016
BELITUNG TIMUR,2016,528572
BELITUNG TIMUR,2017,563309
BELITUNG TIMUR,2018,622396
BELITUNG TIMUR,2019,684277
BELITUNG TIMUR,2020,725395
BELITUNG TIMUR,2021,798017
BELITUNG TIMUR,2022,854534
BELITUNG TIMUR,2023,899482
KOTA PANGKAL PINANG,2016,604011
KOTA PANGKAL PINANG,2017,654044
KOTA PANGKAL PINANG,2018,700949
KOTA PANGKAL PINANG,2019,748487
KOTA PANGKAL PINANG,2020,795653
KOTA PANGKAL PINANG,2021,808839
KOTA PANGKAL PINANG,2022,858840
KOTA PANGKAL PINANG,2023,894224
KEPULAUAN RIAU,2016,490157
KEPULAUAN RIAU,2017,513237
KEPULAUAN RIAU,2018,559291
KEPULAUAN RIAU,2019,594059
KEPULAUAN RIAU,2020,614727
KEPULAUAN RIAU,2021,642425
KEPULAUAN RIAU,2022,684070
KEPULAUAN RIAU,2023,742526
KARIMUN,2016,338341
KARIMUN,2017,354526
KARIMUN,2018,360087
KARIMUN,2019,376853
KARIMUN,2020,411052
KARIMUN,2021,422961
KARIMUN,2022,446856
KARIMUN,2023,468332
BINTAN,2016,341812
BINTAN,2017,354012
BINTAN,2018,367294
BINTAN,2019,384396
BINTAN,2020,417654
BINTAN,2021,424426
BINTAN,2022,447933
BINTAN,2023,474674
NATUNA,2016,302043
NATUNA,2017,332248
NATUNA,2018,362519
NATUNA,2019,378573
NATUNA,2020,408164
NATUNA,2021,420503
NATUNA,2022,449302
NATUNA,2023,480103
LINGGA,2016,387244
LINGGA,2017,395089
LINGGA,2018,411387
LINGGA,2019,429764
LINGGA,2020,472384
LINGGA,2021,484088
LINGGA,2022,507223
LINGGA,2023,540936
KEPULAUAN ANAMBAS,2016,341556
KEPULAUAN ANAMBAS,2017,356046
KEPULAUAN ANAMBAS,2018,366917
KEPULAUAN ANAMBAS,2019,382449
KEPULAUAN ANAMBAS,2020,416877
KEPULAUAN ANAMBAS,2021,429475
KEPULAUAN ANAMBAS,2022,452220
KEPULAUAN ANAMBAS,2023,481718
KOTA BATAM,2016,565380
KOTA BATAM,2017,591589
KOTA BATAM,2018,650406
KOTA BATAM,2019,686956
KOTA BATAM,2020,707856
KOTA BATAM,2021,740109
KOTA BATAM,2022,783730
KOTA BATAM,2023,854465
KOTA TANJUNG PINANG,2016,582414
KOTA TANJUNG PINANG,2017,598631
KOTA TANJUNG PINANG,2018,625473
KOTA TANJUNG PINANG,2019,659170
KOTA TANJUNG PINANG,2020,691738
KOTA TANJUNG PINANG,2021,719776
KOTA TANJUNG PINANG,2022,764410
KOTA TANJUNG PINANG,2023,771584
DKI JAKARTA,2016,510359
DKI JAKARTA,2017,536546
DKI JAKARTA,2018,593108
DKI JAKARTA,2019,637260
DKI JAKARTA,2020,680401
DKI JAKARTA,2021,697638
DKI JAKARTA,2022,738955
DKI JAKARTA,2023,792515
KEPULAUAN SERIBU,2016,520073
KEPULAUAN SERIBU,2017,552622
KEPULAUAN SERIBU,2018,576713
KEPULAUAN SERIBU,2019,629315
KEPULAUAN SERIBU,2020,661852
KEPULAUAN SERIBU,2021,670785
KEPULAUAN SERIBU,2022,701088
KEPULAUAN SERIBU,2023,743820
KOTA JAKARTA SELATAN,2016,594380
KOTA JAKARTA SELATAN,2017,620712
KOTA JAKARTA SELATAN,2018,680167
KOTA JAKARTA SELATAN,2019,729256
KOTA JAKARTA SELATAN,2020,782731
KOTA JAKARTA SELATAN,2021,792684
KOTA JAKARTA SELATAN,2022,842630
KOTA JAKARTA SELATAN,2023,891580
KOTA JAKARTA TIMUR,2016,433405
KOTA JAKARTA TIMUR,2017,455584
KOTA JAKARTA TIMUR,2018,502152
KOTA JAKARTA TIMUR,2019,539510
KOTA JAKARTA TIMUR,2020,581954
KOTA JAKARTA TIMUR,2021,594849
KOTA JAKARTA TIMUR,2022,630842
KOTA JAKARTA TIMUR,2023,669713
KOTA JAKARTA PUSAT,2016,503304
KOTA JAKARTA PUSAT,2017,524750
KOTA JAKARTA PUSAT,2018,580080
KOTA JAKARTA PUSAT,2019,625177
KOTA JAKARTA PUSAT,2020,672328
KOTA JAKARTA PUSAT,2021,689379
KOTA JAKARTA PUSAT,2022,733176
KOTA JAKARTA PUSAT,2023,784679
KOTA JAKARTA BARAT,2016,421968
KOTA JAKARTA BARAT,2017,443561
KOTA JAKARTA BARAT,2018,490331
KOTA JAKARTA BARAT,2019,517646
KOTA JAKARTA BARAT,2020,557803
KOTA JAKARTA BARAT,2021,570330
KOTA JAKARTA BARAT,2022,599514
KOTA JAKARTA BARAT,2023,657247
KOTA JAKARTA UTARA,2016,441617
KOTA JAKARTA UTARA,2017,463787
KOTA JAKARTA UTARA,2018,512689
KOTA JAKARTA UTARA,2019,549506
KOTA JAKARTA UTARA,2020,594240
KOTA JAKARTA UTARA,2021,609310
KOTA JAKARTA UTARA,2022,645431
KOTA JAKARTA UTARA,2023,684557
JAWA BARAT,2016,324992
JAWA BARAT,2017,344427
JAWA BARAT,2018,367755
JAWA BARAT,2019,386198
JAWA BARAT,2020,410988
JAWA BARAT,2021,427402
JAWA BARAT,2022,452580
JAWA BARAT,2023,495229
BOGOR,2016,317430
BOGOR,2017,337550
BOGOR,2018,359787
BOGOR,2019,373799
BOGOR,2020,402877
BOGOR,2021,418483
BOGOR,2022,443787
BOGOR,2023,482174
SUKABUMI,2016,270055
SUKABUMI,2017,284603
SUKABUMI,2018,302213
SUKABUMI,2019,309676
SUKABUMI,2020,328284
SUKABUMI,2021,342094
SUKABUMI,2022,357636
SUKABUMI,2023,392705
CIANJUR,2016,304255
CIANJUR,2017,320390
CIANJUR,2018,340882
CIANJUR,2019,350760
CIANJUR,2020,371699
CIANJUR,2021,387631
CIANJUR,2022,406829
CIANJUR,2023,437327
BANDUNG,2016,297483
BANDUNG,2017,310569
BANDUNG,2018,334929
BANDUNG,2019,345177
BANDUNG,2020,367403
BANDUNG,2021,378819
BANDUNG,2022,398884
BANDUNG,2023,426069
GARUT,2016,256770
GARUT,2017,267252
GARUT,2018,282683
GARUT,2019,301202
GARUT,2020,310437
GARUT,2021,320050
GARUT,2022,335134
GARUT,2023,367681
TASIKMALAYA,2016,274470
TASIKMALAYA,2017,284462
TASIKMALAYA,2018,306759
TASIKMALAYA,2019,311848
TASIKMALAYA,2020,323880
TASIKMALAYA,2021,333909
TASIKMALAYA,2022,347917
TASIKMALAYA,2023,378958
CIAMIS,2016,319150
CIAMIS,2017,334038
CIAMIS,2018,357382
CIAMIS,2019,363750
CIAMIS,2020,378108
CIAMIS,2021,389676
CIAMIS,2022,405294
CIAMIS,2023,442108
KUNINGAN,2016,289901
KUNINGAN,2017,302061
KUNINGAN,2018,332483
KUNINGAN,2019,340775
KUNINGAN,2020,352358
KUNINGAN,2021,358069
KUNINGAN,2022,371665
KUNINGAN,2023,402767
CIREBON,2016,333758
CIREBON,2017,346240
CIREBON,2018,370747
CIREBON,2019,381372
CIREBON,2020,393452
CIREBON,2021,404635
CIREBON,2022,416914
CIREBON,2023,451853
MAJALENGKA,2016,393071
MAJALENGKA,2017,409559
MAJALENGKA,2018,440776
MAJALENGKA,2019,445184
MAJALENGKA,2020,453201
MAJALENGKA,2021,466813
MAJALENGKA,2022,483319
MAJALENGKA,2023,520713
SUMEDANG,2016,295009
SUMEDANG,2017,307394
SUMEDANG,2018,334743
SUMEDANG,2019,342073
SUMEDANG,2020,353092
SUMEDANG,2021,360054
SUMEDANG,2022,371870
SUMEDANG,2023,396573
INDRAMAYU,2016,397196
INDRAMAYU,2017,413857
INDRAMAYU,2018,447378
INDRAMAYU,2019,458240
INDRAMAYU,2020,474807
INDRAMAYU,2021,481754
INDRAMAYU,2022,499805
INDRAMAYU,2023,532545
SUBANG,2016,303583
SUBANG,2017,316317
SUBANG,2018,331557
SUBANG,2019,339607
SUBANG,2020,351885
SUBANG,2021,360691
SUBANG,2022,372308
SUBANG,2023,404320
PURWAKARTA,2016,312499
PURWAKARTA,2017,325607
PURWAKARTA,2018,352061
PURWAKARTA,2019,367273
PURWAKARTA,2020,378287
PURWAKARTA,2021,387754
PURWAKARTA,2022,403663
PURWAKARTA,2023,434187
KARAWANG,2016,386282
KARAWANG,2017,408579
KARAWANG,2018,433972
KARAWANG,2019,440347
KARAWANG,2020,466152
KARAWANG,2021,494201
KARAWANG,2022,521158
KARAWANG,2023,555889
BEKASI,2016,416058
BEKASI,2017,434112
BEKASI,2018,463507
BEKASI,2019,481732
BEKASI,2020,518667
BEKASI,2021,549875
BEKASI,2022,579221
BEKASI,2023,632811
BANDUNG BARAT,2016,294823
BANDUNG BARAT,2017,309304
BANDUNG BARAT,2018,329415
BANDUNG BARAT,2019,341307
BANDUNG BARAT,2020,362212
BANDUNG BARAT,2021,374470
BANDUNG BARAT,2022,393956
BANDUNG BARAT,2023,426355
PANGANDARAN,2016,327399
PANGANDARAN,2017,342672
PANGANDARAN,2018,360960
PANGANDARAN,2019,367748
PANGANDARAN,2020,382264
PANGANDARAN,2021,394101
PANGANDARAN,2022,411174
PANGANDARAN,2023,447242
KOTA BOGOR,2016,416779
KOTA BOGOR,2017,450078
KOTA BOGOR,2018,480749
KOTA BOGOR,2019,513343
KOTA BOGOR,2020,547399
KOTA BOGOR,2021,571425
KOTA BOGOR,2022,608949
KOTA BOGOR,2023,661384
KOTA SUKABUMI,2016,441948
KOTA SUKABUMI,2017,470133
KOTA SUKABUMI,2018,497995
KOTA SUKABUMI,2019,520742
KOTA SUKABUMI,2020,547415
KOTA SUKABUMI,2021,567734
KOTA SUKABUMI,2022,594118
KOTA SUKABUMI,2023,644276
KOTA BANDUNG,2016,400541
KOTA BANDUNG,2017,420579
KOTA BANDUNG,2018,448902
KOTA BANDUNG,2019,474448
KOTA BANDUNG,2020,500452
KOTA BANDUNG,2021,515396
KOTA BANDUNG,2022,545675
KOTA BANDUNG,2023,591124
KOTA CIREBON,2016,373866
KOTA CIREBON,2017,392725
KOTA CIREBON,2018,426738
KOTA CIREBON,2019,444574
KOTA CIREBON,2020,457954
KOTA CIREBON,2021,467248
KOTA CIREBON,2022,485613
KOTA CIREBON,2023,520579
KOTA BEKASI,2016,521813
KOTA BEKASI,2017,544534
KOTA BEKASI,2018,582723
KOTA BEKASI,2019,617718
KOTA BEKASI,2020,657953
KOTA BEKASI,2021,692885
KOTA BEKASI,2022,731392
KOTA BEKASI,2023,795965
KOTA DEPOK,2016,522934
KOTA DEPOK,2017,556470
KOTA DEPOK,2018,615255
KOTA DEPOK,2019,644860
KOTA DEPOK,2020,688194
KOTA DEPOK,2021,705084
KOTA DEPOK,2022,744771
KOTA DEPOK,2023,804984
KOTA CIMAHI,2016,411665
KOTA CIMAHI,2017,433759
KOTA CIMAHI,2018,462969
KOTA CIMAHI,2019,484804
KOTA CIMAHI,2020,511375
KOTA CIMAHI,2021,522281
KOTA CIMAHI,2022,549450
KOTA CIMAHI,2023,590197
KOTA TASIKMALAYA,2016,397215
KOTA TASIKMALAYA,2017,416837
KOTA TASIKMALAYA,2018,447008
KOTA TASIKMALAYA,2019,457899
KOTA TASIKMALAYA,2020,470150
KOTA TASIKMALAYA,2021,480341
KOTA TASIKMALAYA,2022,498711
KOTA TASIKMALAYA,2023,537497
KOTA BANJAR,2016,289369
KOTA BANJAR,2017,305603
KOTA BANJAR,2018,324958
KOTA BANJAR,2019,334590
KOTA BANJAR,2020,344363
KOTA BANJAR,2021,357210
KOTA BANJAR,2022,373510
KOTA BANJAR,2023,408710
JAWA TENGAH,2016,317348
JAWA TENGAH,2017,333224
JAWA TENGAH,2018,350875
JAWA TENGAH,2019,369385
JAWA TENGAH,2020,395407
JAWA TENGAH,2021,409193
JAWA TENGAH,2022,438833
JAWA TENGAH,2023,477580
CILACAP,2016,292525
CILACAP,2017,307041
CILACAP,2018,320106
CILACAP,2019,337572
CILACAP,2020,351735
CILACAP,2021,363367
CILACAP,2022,384955
CILACAP,2023,419429
BANYUMAS,2016,344514
BANYUMAS,2017,357748
BANYUMAS,2018,366442
BANYUMAS,2019,385140
BANYUMAS,2020,406250
BANYUMAS,2021,417086
BANYUMAS,2022,441520
BANYUMAS,2023,479027
PURBALINGGA,2016,301862
PURBALINGGA,2017,313343
PURBALINGGA,2018,324735
PURBALINGGA,2019,355702
PURBALINGGA,2020,375199
PURBALINGGA,2021,384183
PURBALINGGA,2022,407849
PURBALINGGA,2023,439208
BANJARNEGARA,2016,252328
BANJARNEGARA,2017,264387
BANJARNEGARA,2018,278210
BANJARNEGARA,2019,301792
BANJARNEGARA,2020,318334
BANJARNEGARA,2021,328679
BANJARNEGARA,2022,351333
BANJARNEGARA,2023,380046
KEBUMEN,2016,313881
KEBUMEN,2017,325819
KEBUMEN,2018,342437
KEBUMEN,2019,362847
KEBUMEN,2020,380557
KEBUMEN,2021,390599
KEBUMEN,2022,416004
KEBUMEN,2023,451678
PURWOREJO,2016,313931
PURWOREJO,2017,325871
PURWOREJO,2018,335995
PURWOREJO,2019,345458
PURWOREJO,2020,364289
PURWOREJO,2021,376127
PURWOREJO,2022,393731
PURWOREJO,2023,427622
WONOSOBO,2016,297422
WONOSOBO,2017,308553
WONOSOBO,2018,323490
WONOSOBO,2019,340827
WONOSOBO,2020,362683
WONOSOBO,2021,373474
WONOSOBO,2022,399180
WONOSOBO,2023,425105
MAGELANG,2016,271800
MAGELANG,2017,281237
MAGELANG,2018,296327
MAGELANG,2019,325921
MAGELANG,2020,342430
MAGELANG,2021,353608
MAGELANG,2022,377497
MAGELANG,2023,411129
BOYOLALI,2016,283921
BOYOLALI,2017,293405
BOYOLALI,2018,304575
BOYOLALI,2019,332996
BOYOLALI,2020,347520
