Nama Wilayah,Attribute,Nilai(Rupiah/kapita/bulan)
KALIMANTAN SELATAN,2020,508852
KALIMANTAN SELATAN,2021,536041
KALIMANTAN SELATAN,2022,588472
KALIMANTAN SELATAN,2023,613880
KALIMANTAN TIMUR,2016,535137
KALIMANTAN TIMUR,2017,564801
KALIMANTAN TIMUR,2018,601619
KALIMANTAN TIMUR,2019,643047
KALIMANTAN TIMUR,2020,675399
KALIMANTAN TIMUR,2021,706886
KALIMANTAN TIMUR,2022,772112
KALIMANTAN TIMUR,2023,796193
KALIMANTAN UTARA,2016,539499
KALIMANTAN UTARA,2017,595802
KALIMANTAN UTARA,2018,647330
KALIMANTAN UTARA,2019,699082
KALIMANTAN UTARA,2020,723478
KALIMANTAN UTARA,2021,761840
KALIMANTAN UTARA,2022,834774
KALIMANTAN UTARA,2023,851133
SULAWESI UTARA,2016,314004
SULAWESI UTARA,2017,331931
SULAWESI UTARA,2018,352765
SULAWESI UTARA,2019,377597
SULAWESI UTARA,2020,402502
SULAWESI UTARA,2021,423427
SULAWESI UTARA,2022,460738
SULAWESI UTARA,2023,470822
SULAWESI TENGAH,2016,399413
SULAWESI TENGAH,2017,430728
SULAWESI TENGAH,2018,437697
SULAWESI TENGAH,2019,481436
SULAWESI TENGAH,2020,492758
SULAWESI TENGAH,2021,516374
SULAWESI TENGAH,2022,565994
SULAWESI TENGAH,2023,579063
SULAWESI SELATAN,2016,286669
SULAWESI SELATAN,2017,303834
SULAWESI SELATAN,2018,327725
SULAWESI SELATAN,2019,354770
SULAWESI SELATAN,2020,375463
SULAWESI SELATAN,2021,403751
SULAWESI SELATAN,2022,443717
SULAWESI SELATAN,2023,458859
SULAWESI TENGGARA,2016,294286
SULAWESI TENGGARA,2017,308624
SULAWESI TENGGARA,2018,324276
SULAWESI TENGGARA,2019,356235
SULAWESI TENGGARA,2020,383839
SULAWESI TENGGARA,2021,410332
SULAWESI TENGGARA,2022,451180
SULAWESI TENGGARA,2023,463387
GORONTALO,2016,287156
GORONTALO,2017,312931
GORONTALO,2018,327369
GORONTALO,2019,353074
GORONTALO,2020,375740
GORONTALO,2021,401219
GORONTALO,2022,436651
GORONTALO,2023,444797
SULAWESI BARAT,2016,280117
SULAWESI BARAT,2017,318376
SULAWESI BARAT,2018,326426
SULAWESI BARAT,2019,340649
SULAWESI BARAT,2020,356967
SULAWESI BARAT,2021,382292
SULAWESI BARAT,2022,428974
SULAWESI BARAT,2023,437387
MALUKU,2016,424788
MALUKU,2017,461552
MALUKU,2018,484316
MALUKU,2019,545855
MALUKU,2020,584061
MALUKU,2021,613316
MALUKU,2022,682707
MALUKU,2023,694588
MALUKU UTARA,2016,405368
MALUKU UTARA,2017,413797
MALUKU UTARA,2018,449693
MALUKU UTARA,2019,484064
MALUKU UTARA,2020,494703
MALUKU UTARA,2021,533231
MALUKU UTARA,2022,573792
MALUKU UTARA,2023,599137
PAPUA BARAT,2016,508262
PAPUA BARAT,2017,523381
PAPUA BARAT,2018,583530
PAPUA BARAT,2019,618279
PAPUA BARAT,2020,635539
PAPUA BARAT,2021,683148
PAPUA BARAT,2022,741776
PAPUA BARAT,2023,765617
PAPUA BARAT DAYA,2016,-
PAPUA BARAT DAYA,2017,-
PAPUA BARAT DAYA,2018,-
PAPUA BARAT DAYA,2019,-
PAPUA BARAT DAYA,2020,-
PAPUA BARAT DAYA,2021,-
PAPUA BARAT DAYA,2022,-
PAPUA BARAT DAYA,2023,-
PAPUA,2016,479294
PAPUA,2017,508403
PAPUA,2018,566903
PAPUA,2019,603458
PAPUA,2020,622346
PAPUA,2021,643071
PAPUA,2022,723346
PAPUA,2023,743289
PAPUA SELATAN,2016,-
PAPUA SELATAN,2017,-
PAPUA SELATAN,2018,-
PAPUA SELATAN,2019,-
PAPUA SELATAN,2020,-
PAPUA SELATAN,2021,-
PAPUA SELATAN,2022,-
PAPUA SELATAN,2023,-
PAPUA TENGAH,2016,-
PAPUA TENGAH,2017,-
PAPUA TENGAH,2018,-
PAPUA TENGAH,2019,-
PAPUA TENGAH,2020,-
PAPUA TENGAH,2021,-
PAPUA TENGAH,2022,-
