Jumlah Penduduk Miskin Kabupaten Kota,,
NAMA WILAYAH,TAHUN,JUMLAH (RIBU JIWA)
Musi Banyuasin,2022,102.24
Musi Banyuasin,2023,101.63
Banyu Asin,2016,95.99
Banyu Asin,2017,95.28
Banyu Asin,2018,95.29
Banyu Asin,2019,96.55
Banyu Asin,2020,96.27
Banyu Asin,2021,94.08
Banyu Asin,2022,88.55
Banyu Asin,2023,85.88
Ogan Komering Ulu Selatan,2016,38.42
Ogan Komering Ulu Selatan,2017,38.63
Ogan Komering Ulu Selatan,2018,37.87
Ogan Komering Ulu Selatan,2019,37.92
Ogan Komering Ulu Selatan,2020,39.5
Ogan Komering Ulu Selatan,2021,41.23
Ogan Komering Ulu Selatan,2022,39.61
Ogan Komering Ulu Selatan,2023,39.3
Ogan Komering Ulu Timur,2016,73.93
Ogan Komering Ulu Timur,2017,72.81
Ogan Komering Ulu Timur,2018,70.65
Ogan Komering Ulu Timur,2019,70.4
Ogan Komering Ulu Timur,2020,71.1
Ogan Komering Ulu Timur,2021,72.89
Ogan Komering Ulu Timur,2022,69.69
Ogan Komering Ulu Timur,2023,69.91
Ogan Ilir,2016,57.01
Ogan Ilir,2017,56.84
Ogan Ilir,2018,55.87
Ogan Ilir,2019,57.06
Ogan Ilir,2020,57.97
Ogan Ilir,2021,60.5
Ogan Ilir,2022,54.55
Ogan Ilir,2023,59.33
Empat Lawang,2016,30.17
Empat Lawang,2017,30.29
Empat Lawang,2018,30.2
Empat Lawang,2019,30.68
Empat Lawang,2020,31.89
Empat Lawang,2021,34.11
Empat Lawang,2022,31.06
Empat Lawang,2023,30.78
Penukal Abab Lematang Ilir,2016,25.89
Penukal Abab Lematang Ilir,2017,26.75
Penukal Abab Lematang Ilir,2018,25.78
Penukal Abab Lematang Ilir,2019,25.47
Penukal Abab Lematang Ilir,2020,24.17
Penukal Abab Lematang Ilir,2021,25.1
Penukal Abab Lematang Ilir,2022,23.14
Penukal Abab Lematang Ilir,2023,21.72
Musi Rawas Utara,2016,36.95
Musi Rawas Utara,2017,36.45
Musi Rawas Utara,2018,36.19
Musi Rawas Utara,2019,36.63
Musi Rawas Utara,2020,37.75
Musi Rawas Utara,2021,39.5
Musi Rawas Utara,2022,36.65
Musi Rawas Utara,2023,36.68
Kota Palembang,2016,191.95
Kota Palembang,2017,184.41
Kota Palembang,2018,179.32
Kota Palembang,2019,180.67
Kota Palembang,2020,182.61
Kota Palembang,2021,194.12
Kota Palembang,2022,181.65
Kota Palembang,2023,179.45
Kota Prabumulih,2016,20.47
Kota Prabumulih,2017,20.72
Kota Prabumulih,2018,20.95
Kota Prabumulih,2019,21.62
Kota Prabumulih,2020,21.83
Kota Prabumulih,2021,23.6
Kota Prabumulih,2022,22.12
Kota Prabumulih,2023,22.33
Kota Pagar Alam,2016,12.4
Kota Pagar Alam,2017,12.12
Kota Pagar Alam,2018,12.07
Kota Pagar Alam,2019,12.37
Kota Pagar Alam,2020,12.71
Kota Pagar Alam,2021,13.27
Kota Pagar Alam,2022,12.05
Kota Pagar Alam,2023,12.73
Kota Lubuklinggau,2016,31.05
Kota Lubuklinggau,2017,29.54
Kota Lubuklinggau,2018,29.74
Kota Lubuklinggau,2019,29.98
Kota Lubuklinggau,2020,29.8
Kota Lubuklinggau,2021,31.61
Kota Lubuklinggau,2022,30.68
Kota Lubuklinggau,2023,31.02
BENGKULU,2016,328.61
BENGKULU,2017,316.98
BENGKULU,2018,301.81
BENGKULU,2019,302.3
BENGKULU,2020,302.58
BENGKULU,2021,306
BENGKULU,2022,297.23
BENGKULU,2023,288.46
Bengkulu Selatan,2016,33.92
Bengkulu Selatan,2017,32.66
Bengkulu Selatan,2018,29.19
Bengkulu Selatan,2019,29.3
Bengkulu Selatan,2020,28.41
Bengkulu Selatan,2021,31.65
Bengkulu Selatan,2022,31.83
Bengkulu Selatan,2023,31.89
Rejang Lebong,2016,45.79
Rejang Lebong,2017,43.85
Rejang Lebong,2018,42.13
Rejang Lebong,2019,41.57
Rejang Lebong,2020,41.47
Rejang Lebong,2021,43.3
Rejang Lebong,2022,43.18
Rejang Lebong,2023,41.18
Bengkulu Utara,2016,39.86
Bengkulu Utara,2017,38.97
Bengkulu Utara,2018,35.78
Bengkulu Utara,2019,35.94
Bengkulu Utara,2020,36.67
Bengkulu Utara,2021,35.55
Bengkulu Utara,2022,35.51
Bengkulu Utara,2023,35.26
Kaur,2016,26.14
Kaur,2017,25.47
Kaur,2018,23.2
Kaur,2019,22.84
Kaur,2020,22.57
Kaur,2021,22.99
Kaur,2022,22.57
Kaur,2023,22.45
Seluma,2016,40.59
Seluma,2017,39.24
Seluma,2018,37.51
Seluma,2019,36.92
Seluma,2020,36.23
Seluma,2021,37.05
Seluma,2022,36.71
Seluma,2023,36.32
Mukomuko,2016,23.45
Mukomuko,2017,22.51
Mukomuko,2018,21.5
Mukomuko,2019,22.56
Mukomuko,2020,23.1
Mukomuko,2021,22.5
Mukomuko,2022,21.81
Mukomuko,2023,20.7
Lebong,2016,13.56
Lebong,2017,13.31
Lebong,2018,13.25
Lebong,2019,13.67
Lebong,2020,13.97
Lebong,2021,13.97
Lebong,2022,14.14
Lebong,2023,13.23
Kepahiang,2016,21.75
Kepahiang,2017,21.47
Kepahiang,2018,19.58
Kepahiang,2019,20.18
Kepahiang,2020,20.27
Kepahiang,2021,20.94
Kepahiang,2022,20.73
Kepahiang,2023,20.32
Bengkulu Tengah,2016,9.5
Bengkulu Tengah,2017,9.32
Bengkulu Tengah,2018,9.24
Bengkulu Tengah,2019,10.06
Bengkulu Tengah,2020,10.79
Bengkulu Tengah,2021,11.12
Bengkulu Tengah,2022,11.33
Bengkulu Tengah,2023,11.01
Kota Bengkulu,2016,74.05
Kota Bengkulu,2017,70.16
Kota Bengkulu,2018,70.44
Kota Bengkulu,2019,69.26
Kota Bengkulu,2020,69.12
Kota Bengkulu,2021,66.94
Kota Bengkulu,2022,59.43
Kota Bengkulu,2023,56.1
LAMPUNG,2016,-
LAMPUNG,2017,1131.73
LAMPUNG,2018,1097.05
LAMPUNG,2019,1063.66
LAMPUNG,2020,1049.32
LAMPUNG,2021,1083.93
LAMPUNG,2022,1002.41
LAMPUNG,2023,970.67
Lampung Barat,2016,44.9
Lampung Barat,2017,42.71
Lampung Barat,2018,40.62
Lampung Barat,2019,39.05
Lampung Barat,2020,38.12
Lampung Barat,2021,39.36
Lampung Barat,2022,36.2
Lampung Barat,2023,34.73
Tanggamus,2016,81.34
Tanggamus,2017,77.53
Tanggamus,2018,73.77
Tanggamus,2019,71.9
Tanggamus,2020,70.37
Tanggamus,2021,71.89
Tanggamus,2022,67.43
Tanggamus,2023,65.18
Lampung Selatan,2016,158.38
Lampung Selatan,2017,150.11
Lampung Selatan,2018,148.54
Lampung Selatan,2019,144.44
Lampung Selatan,2020,143.33
Lampung Selatan,2021,145.85
Lampung Selatan,2022,136.21
Lampung Selatan,2023,133.67
Lampung Timur,2016,172.61
Lampung Timur,2017,167.64
Lampung Timur,2018,162.94
Lampung Timur,2019,158.9
Lampung Timur,2020,153.57
Lampung Timur,2021,159.79
Lampung Timur,2022,149.12
Lampung Timur,2023,148.26
Lampung Tengah,2016,165.67
Lampung Tengah,2017,162.38
Lampung Tengah,2018,160.12
Lampung Tengah,2019,153.84
Lampung Tengah,2020,152.28
Lampung Tengah,2021,155.77
Lampung Tengah,2022,143.34
Lampung Tengah,2023,140.29
Lampung Utara,2016,139.5
Lampung Utara,2017,131.78
Lampung Utara,2018,128.02
Lampung Utara,2019,122.65
Lampung Utara,2020,119.35
Lampung Utara,2021,121.91
Lampung Utara,2022,114.67
Lampung Utara,2023,107.21
Way Kanan,2016,63.64
Way Kanan,2017,62
Way Kanan,2018,60.16
Way Kanan,2019,58.72
Way Kanan,2020,58.41
Way Kanan,2021,59.89
Way Kanan,2022,54.28
Way Kanan,2023,51.26
Tulangbawang,2016,44.26
Tulangbawang,2017,44.31
Tulangbawang,2018,43.1
Tulangbawang,2019,42.06
Tulangbawang,2020,42.43
Tulangbawang,2021,44.53
Tulangbawang,2022,39.19
Tulangbawang,2023,37.83
Pesawaran,2016,74.45
Pesawaran,2017,71.64
Pesawaran,2018,70.14
Pesawaran,2019,67.36
Pesawaran,2020,66.04
Pesawaran,2021,68.31
Pesawaran,2022,63.17
Pesawaran,2023,59.29
Pringsewu,2016,45.72
Pringsewu,2017,44.41
Pringsewu,2018,41.64
Pringsewu,2019,40.55
Pringsewu,2020,40.12
Pringsewu,2021,41.04
Pringsewu,2022,38.18
Pringsewu,2023,37.6
Mesuji,2016,15.74
Mesuji,2017,15.16
Mesuji,2018,15.01
Mesuji,2019,14.94
Mesuji,2020,14.72
Mesuji,2021,15.24
Mesuji,2022,13.88
Mesuji,2023,13.71
Tulang Bawang Barat,2016,22.39
Tulang Bawang Barat,2017,21.77
Tulang Bawang Barat,2018,21.93
Tulang Bawang Barat,2019,21.14
Tulang Bawang Barat,2020,20.29
Tulang Bawang Barat,2021,23.03
Tulang Bawang Barat,2022,20.72
Tulang Bawang Barat,2023,20.32
Pesisir Barat,2016,24.2
Pesisir Barat,2017,23.76
Pesisir Barat,2018,22.98
Pesisir Barat,2019,22.38
Pesisir Barat,2020,22.24
Pesisir Barat,2021,23.23
Pesisir Barat,2022,21.85
Pesisir Barat,2023,21.45
Kota Bandar Lampung,2016,100.54
Kota Bandar Lampung,2017,100.5
Kota Bandar Lampung,2018,93.04
Kota Bandar Lampung,2019,91.24
Kota Bandar Lampung,2020,93.74
Kota Bandar Lampung,2021,98.76
Kota Bandar Lampung,2022,90.51
Kota Bandar Lampung,2023,87.08
Kota Metro,2016,16.26
Kota Metro,2017,16.06
Kota Metro,2018,15.06
Kota Metro,2019,14.49
Kota Metro,2020,14.31
Kota Metro,2021,15.32
Kota Metro,2022,13.68
Kota Metro,2023,12.8
KEP. BANGKA BELITUNG,2016,72.76
KEP. BANGKA BELITUNG,2017,74.09
KEP. BANGKA BELITUNG,2018,76.26
KEP. BANGKA BELITUNG,2019,68.38
KEP. BANGKA BELITUNG,2020,68.4
KEP. BANGKA BELITUNG,2021,72.71
KEP. BANGKA BELITUNG,2022,66.78
KEP. BANGKA BELITUNG,2023,68.69
Bangka,2016,17.29
Bangka,2017,16.45
Bangka,2018,18.02
Bangka,2019,16.52
Bangka,2020,15.41
Bangka,2021,16.19
Bangka,2022,14.5
Bangka,2023,14.87
Belitung,2016,13.94
Belitung,2017,14.11
Belitung,2018,14
Belitung,2019,11.88
Belitung,2020,12.07
Belitung,2021,13.53
Belitung,2022,12.34
Belitung,2023,12.51
Bangka Barat,2016,5.46
Bangka Barat,2017,6.06
Bangka Barat,2018,6.35
Bangka Barat,2019,5.65
Bangka Barat,2020,5.83
Bangka Barat,2021,5.85
Bangka Barat,2022,5.3
Bangka Barat,2023,5.91
Bangka Tengah,2016,10.36
Bangka Tengah,2017,11.39
Bangka Tengah,2018,11.12
Bangka Tengah,2019,9.8
Bangka Tengah,2020,9.64
Bangka Tengah,2021,10.03
Bangka Tengah,2022,9.61
Bangka Tengah,2023,10.58
Bangka Selatan,2016,7.11
Bangka Selatan,2017,7.88
Bangka Selatan,2018,7.58
Bangka Selatan,2019,7.02
Bangka Selatan,2020,7.49
Bangka Selatan,2021,7.72
Bangka Selatan,2022,6.81
Bangka Selatan,2023,6.66
Belitung Timur,2016,8.48
Belitung Timur,2017,8.44
Belitung Timur,2018,8.93
Belitung Timur,2019,8.51
Belitung Timur,2020,8.56
Belitung Timur,2021,9.29
Belitung Timur,2022,8.47
Belitung Timur,2023,8.89
Kota Pangkal Pinang,2016,10.12
Kota Pangkal Pinang,2017,9.76
Kota Pangkal Pinang,2018,10.27
Kota Pangkal Pinang,2019,9
Kota Pangkal Pinang,2020,9.4
Kota Pangkal Pinang,2021,10.1
Kota Pangkal Pinang,2022,9.76
Kota Pangkal Pinang,2023,9.27
KEPULAUAN RIAU,2016,120.41
KEPULAUAN RIAU,2017,125.37
KEPULAUAN RIAU,2018,131.68
KEPULAUAN RIAU,2019,128.46
KEPULAUAN RIAU,2020,131.97
KEPULAUAN RIAU,2021,144.46
KEPULAUAN RIAU,2022,151.68
KEPULAUAN RIAU,2023,142.5
Karimun,2016,15.35
Karimun,2017,16.94
Karimun,2018,15.93
Karimun,2019,15.36
Karimun,2020,15.99
Karimun,2021,16.28
Karimun,2022,16.44
Karimun,2023,14.33
Bintan,2016,9.91
Bintan,2017,9.37
Bintan,2018,10.42
Bintan,2019,10.14
Bintan,2020,10.21
Bintan,2021,10.54
Bintan,2022,10.67
Bintan,2023,9.86
Natuna,2016,3.25
Natuna,2017,3.53
Natuna,2018,3.6
Natuna,2019,3.43
Natuna,2020,3.47
Natuna,2021,3.98
Natuna,2022,4.32
Natuna,2023,4.3
Lingga,2016,12.76
Lingga,2017,12.35
Lingga,2018,12.13
Lingga,2019,11.56
Lingga,2020,12.45
Lingga,2021,12.58
Lingga,2022,12.7
Lingga,2023,10.18
Kepulauan Anambas,2016,2.74
Kepulauan Anambas,2017,2.84
Kepulauan Anambas,2018,2.9
Kepulauan Anambas,2019,2.72
Kepulauan Anambas,2020,2.8
Kepulauan Anambas,2021,3.08
Kepulauan Anambas,2022,3.29
Kepulauan Anambas,2023,3.08
Kota Batam,2016,57.34
Kota Batam,2017,61.16
Kota Batam,2018,67.41
Kota Batam,2019,66.21
Kota Batam,2020,67.06
Kota Batam,2021,77.17
Kota Batam,2022,82.59
Kota Batam,2023,83.09
Kota Tanjung Pinang,2016,19.06
Kota Tanjung Pinang,2017,19.18
Kota Tanjung Pinang,2018,19.3
Kota Tanjung Pinang,2019,19.05
Kota Tanjung Pinang,2020,19.98
Kota Tanjung Pinang,2021,20.85
Kota Tanjung Pinang,2022,21.67
Kota Tanjung Pinang,2023,17.67
DKI JAKARTA,2016,384.3
DKI JAKARTA,2017,389.69
DKI JAKARTA,2018,373.12
DKI JAKARTA,2019,365.55
DKI JAKARTA,2020,480.86
DKI JAKARTA,2021,501.92
DKI JAKARTA,2022,502.04
DKI JAKARTA,2023,477.83
Kepulauan Seribu,2016,2.96
Kepulauan Seribu,2017,3.09
Kepulauan Seribu,2018,2.88
Kepulauan Seribu,2019,2.93
Kepulauan Seribu,2020,3.63
Kepulauan Seribu,2021,3.86
Kepulauan Seribu,2022,3.67
Kepulauan Seribu,2023,3.47
Kota Jakarta Selatan,2016,71.96
Kota Jakarta Selatan,2017,69.82
Kota Jakarta Selatan,2018,63.38
Kota Jakarta Selatan,2019,61.76
Kota Jakarta Selatan,2020,78.09
Kota Jakarta Selatan,2021,81.5
Kota Jakarta Selatan,2022,81.11
Kota Jakarta Selatan,2023,71.9
Kota Jakarta Timur,2016,91.37
Kota Jakarta Timur,2017,95.67
Kota Jakarta Timur,2018,91.38
Kota Jakarta Timur,2019,91.61
Kota Jakarta Timur,2020,122.73
Kota Jakarta Timur,2021,125.37
Kota Jakarta Timur,2022,126.63
Kota Jakarta Timur,2023,124.22
Kota Jakarta Pusat,2016,35.82
Kota Jakarta Pusat,2017,34.83
Kota Jakarta Pusat,2018,33.19
Kota Jakarta Pusat,2019,34.13
Kota Jakarta Pusat,2020,41.92
Kota Jakarta Pusat,2021,45.1
Kota Jakarta Pusat,2022,44.72
Kota Jakarta Pusat,2023,42.78
Kota Jakarta Barat,2016,84.08
Kota Jakarta Barat,2017,86.96
Kota Jakarta Barat,2018,86.42
Kota Jakarta Barat,2019,84.02
Kota Jakarta Barat,2020,110.9
Kota Jakarta Barat,2021,113.37
Kota Jakarta Barat,2022,112.18
Kota Jakarta Barat,2023,109.49
Kota Jakarta Utara,2016,98.11
Kota Jakarta Utara,2017,99.31
Kota Jakarta Utara,2018,95.86
Kota Jakarta Utara,2019,91.09
Kota Jakarta Utara,2020,123.59
Kota Jakarta Utara,2021,132.73
Kota Jakarta Utara,2022,133.73
Kota Jakarta Utara,2023,125.98
JAWA BARAT,2016,-
JAWA BARAT,2017,4168.44
JAWA BARAT,2018,3615.79
JAWA BARAT,2019,3399.16
JAWA BARAT,2020,3920.23
JAWA BARAT,2021,4195.34
JAWA BARAT,2022,4070.98
JAWA BARAT,2023,3888.6
Bogor,2016,490.8
Bogor,2017,487.28
Bogor,2018,415.02
Bogor,2019,395.03
Bogor,2020,465.67
Bogor,2021,491.24
Bogor,2022,474.74
Bogor,2023,453.76
Sukabumi,2016,198.66
Sukabumi,2017,197.12
Sukabumi,2018,166.33
Sukabumi,2019,153.3
Sukabumi,2020,175.1
Sukabumi,2021,194.35
Sukabumi,2022,186.28
Sukabumi,2023,178.71
Cianjur,2016,261.39
Cianjur,2017,257.41
Cianjur,2018,221.58
Cianjur,2019,207.07
Cianjur,2020,234.47
Cianjur,2021,260.02
Cianjur,2022,246.81
Cianjur,2023,240.06
Bandung,2016,272.65
Bandung,2017,268.02
Bandung,2018,246.13
Bandung,2019,223.21
Bandung,2020,263.6
Bandung,2021,269.18
Bandung,2022,258.61
Bandung,2023,245.49
Garut,2016,298.52
Garut,2017,291.24
Garut,2018,241.31
Garut,2019,235.19
Garut,2020,262.78
Garut,2021,281.36
Garut,2022,276.67
Garut,2023,260.48
Tasikmalaya,2016,195.61
Tasikmalaya,2017,189.35
Tasikmalaya,2018,172.41
Tasikmalaya,2019,159.93
Tasikmalaya,2020,181.52
Tasikmalaya,2021,200.59
Tasikmalaya,2022,194.1
Tasikmalaya,2023,186.87
Ciamis,2016,98.77
Ciamis,2017,96.76
Ciamis,2018,85.72
Ciamis,2019,79.41
Ciamis,2020,91.39
Ciamis,2021,96.6
Ciamis,2022,93.96
Ciamis,2023,90.84
Kuningan,2016,144.07
Kuningan,2017,141.55
Kuningan,2018,131.16
Kuningan,2019,123.16
Kuningan,2020,139.2
Kuningan,2021,143.35
Kuningan,2022,140.25
Kuningan,2023,133.88
Cirebon,2016,288.49
Cirebon,2017,279.55
Cirebon,2018,232.37
Cirebon,2019,217.64
Cirebon,2020,247.94
Cirebon,2021,271.02
Cirebon,2022,266.1
Cirebon,2023,249.18
Majalengka,2016,152.5
Majalengka,2017,150.26
Majalengka,2018,129.29
Majalengka,2019,121.06
Majalengka,2020,138.21
Majalengka,2021,151.14
Majalengka,2022,147.12
Majalengka,2023,138.74
Sumedang,2016,120.6
Sumedang,2017,120.63
Sumedang,2018,112.14
Sumedang,2019,104.18
Sumedang,2020,118.38
Sumedang,2021,126.28
Sumedang,2022,120.12
Sumedang,2023,111.39
Indramayu,2016,237
Indramayu,2017,233.38
Indramayu,2018,204.18
Indramayu,2019,191.86
Indramayu,2020,220.31
Indramayu,2021,228.59
Indramayu,2022,225.04
Indramayu,2023,214.74
Subang,2016,170.37
Subang,2017,167.79
Subang,2018,136.61
Subang,2019,129.18
Subang,2020,149.81
Subang,2021,158.97
Subang,2022,155.34
Subang,2023,152.33
Purwakarta,2016,83.55
Purwakarta,2017,85.25
Purwakarta,2018,75.94
Purwakarta,2019,71.86
Purwakarta,2020,80.17
Purwakarta,2021,84.27
Purwakarta,2022,83.44
Purwakarta,2023,81.54
Karawang,2016,230.6
Karawang,2017,236.84
Karawang,2018,187.96
Karawang,2019,173.66
Karawang,2020,195.41
Karawang,2021,210.78
Karawang,2022,199.91
Karawang,2023,187.23
Bekasi,2016,164.41
Bekasi,2017,163.95
Bekasi,2018,157.21
Bekasi,2019,149.43
Bekasi,2020,186.3
Bekasi,2021,202.73
Bekasi,2022,201.14
Bekasi,2023,204.09
Bandung Barat,2016,192.48
Bandung Barat,2017,190.89
Bandung Barat,2018,169
Bandung Barat,2019,159.03
Bandung Barat,2020,179.46
Bandung Barat,2021,190.77
Bandung Barat,2022,183.67
Bandung Barat,2023,179.43
Pangandaran,2016,40.14
Pangandaran,2017,39.46
Pangandaran,2018,32.19
Pangandaran,2019,30.73
Pangandaran,2020,36.05
Pangandaran,2021,39.07
Pangandaran,2022,37.91
Pangandaran,2023,36.7
Kota Bogor,2016,77.28
Kota Bogor,2017,76.53
Kota Bogor,2018,64.85
Kota Bogor,2019,63.97
Kota Bogor,2020,75.04
Kota Bogor,2021,80.09
Kota Bogor,2022,79.15
Kota Bogor,2023,74.95
Kota Sukabumi,2016,27.51
Kota Sukabumi,2017,27.41
Kota Sukabumi,2018,23.2
Kota Sukabumi,2019,21.87
Kota Sukabumi,2020,25.42
Kota Sukabumi,2021,27.19
Kota Sukabumi,2022,26.59
Kota Sukabumi,2023,24.96
Kota Bandung,2016,107.58
Kota Bandung,2017,103.98
Kota Bandung,2018,89.38
Kota Bandung,2019,84.67
Kota Bandung,2020,100.02
Kota Bandung,2021,112.5
Kota Bandung,2022,109.82
Kota Bandung,2023,102.8
Kota Cirebon,2016,30.15
Kota Cirebon,2017,30.19
Kota Cirebon,2018,28.03
Kota Cirebon,2019,26.8
Kota Cirebon,2020,30.61
Kota Cirebon,2021,31.98
Kota Cirebon,2022,31.47
Kota Cirebon,2023,29.49
Kota Bekasi,2016,140.03
Kota Bekasi,2017,136.01
Kota Bekasi,2018,119.82
Kota Bekasi,2019,113.65
Kota Bekasi,2020,134.01
Kota Bekasi,2021,144.12
Kota Bekasi,2022,137.39
Kota Bekasi,2023,129.4
Kota Depok,2016,50.56
Kota Depok,2017,52.34
Kota Depok,2018,49.39
Kota Depok,2019,49.35
Kota Depok,2020,60.43
Kota Depok,2021,63.86
Kota Depok,2022,64.36
Kota Depok,2023,61.95
Kota Cimahi,2016,35.07
Kota Cimahi,2017,34.53
Kota Cimahi,2018,29.94
Kota Cimahi,2019,26.91
Kota Cimahi,2020,31.64
Kota Cimahi,2021,32.48
Kota Cimahi,2022,31.16
Kota Cimahi,2023,28.56
Kota Tasikmalaya,2016,102.79
Kota Tasikmalaya,2017,97.85
Kota Tasikmalaya,2018,84.22
Kota Tasikmalaya,2019,76.98
Kota Tasikmalaya,2020,86.13
Kota Tasikmalaya,2021,89.46
Kota Tasikmalaya,2022,87.13
Kota Tasikmalaya,2023,79.37
Kota Banjar,2016,12.74
Kota Banjar,2017,12.87
Kota Banjar,2018,10.41
Kota Banjar,2019,10.07
Kota Banjar,2020,11.16
Kota Banjar,2021,13.37
Kota Banjar,2022,12.73
Kota Banjar,2023,11.66
JAWA TENGAH,2016,-
JAWA TENGAH,2017,4450.72
JAWA TENGAH,2018,3897.2
JAWA TENGAH,2019,3743.23
JAWA TENGAH,2020,3980.9
JAWA TENGAH,2021,4109.75
JAWA TENGAH,2022,3831.44
JAWA TENGAH,2023,3791.5
Cilacap,2016,240.24
Cilacap,2017,238.32
Cilacap,2018,193.18
Cilacap,2019,185.18
Cilacap,2020,198.6
Cilacap,2021,201.71
Cilacap,2022,190.96
Cilacap,2023,191
Banyumas,2016,283.9
Banyumas,2017,283.25
Banyumas,2018,226.23
Banyumas,2019,211.65
Banyumas,2020,225.84
Banyumas,2021,232.91
Banyumas,2022,220.47
Banyumas,2023,216.5
Purbalingga,2016,171.78
Purbalingga,2017,171.88
Purbalingga,2018,144.16
Purbalingga,2019,140.07
Purbalingga,2020,149.48
Purbalingga,2021,153.08
Purbalingga,2022,145.33
Purbalingga,2023,143.41
Banjarnegara,2016,158.2
Banjarnegara,2017,156.83
Banjarnegara,2018,141.72
Banjarnegara,2019,136.1
Banjarnegara,2020,144.95
Banjarnegara,2021,150.19
Banjarnegara,2022,141.25
Banjarnegara,2023,138.99
Kebumen,2016,235.9
Kebumen,2017,233.45
Kebumen,2018,208.66
Kebumen,2019,201.34
Kebumen,2020,211.09
Kebumen,2021,212.92
Kebumen,2022,196.16
Kebumen,2023,195.45
Purworejo,2016,99.07
Purworejo,2017,98.65
Purworejo,2018,83.55
Purworejo,2019,82.17
Purworejo,2020,84.79
Purworejo,2021,88.8
Purworejo,2022,82.64
Purworejo,2023,81.28
Wonosobo,2016,160.12
Wonosobo,2017,159.16
Wonosobo,2018,138.32
Wonosobo,2019,131.35
Wonosobo,2020,137.64
Wonosobo,2021,139.67
Wonosobo,2022,128.11
Wonosobo,2023,123.7
Magelang,2016,158.86
Magelang,2017,157.15
Magelang,2018,143.44
Magelang,2019,137.45
Magelang,2020,146.34
Magelang,2021,154.91
Magelang,2022,145.33
Magelang,2023,144.49
Boyolali,2016,116.98
Boyolali,2017,116.39
Boyolali,2018,98.23
Boyolali,2019,93.75
Boyolali,2020,100.59
Boyolali,2021,104.82
Boyolali,2022,97.18
Boyolali,2023,97.48
Klaten,2016,168.01
Klaten,2017,164.99
Klaten,2018,151.73
Klaten,2019,144.14
Klaten,2020,151.83
Klaten,2021,158.23
Klaten,2022,144.87
Klaten,2023,144.43
Sukoharjo,2016,78.91
Sukoharjo,2017,76.69
Sukoharjo,2018,65.43
Sukoharjo,2019,63.55
Sukoharjo,2020,68.89
Sukoharjo,2021,73.84
Sukoharjo,2022,68.72
Sukoharjo,2023,68.79
Wonogiri,2016,124.83
Wonogiri,2017,123.04
Wonogiri,2018,102.84
Wonogiri,2019,98.28
Wonogiri,2020,104.37
Wonogiri,2021,110.46
Wonogiri,2022,105.19
Wonogiri,2023,104.82
Karanganyar,2016,107.66
Karanganyar,2017,106.78
Karanganyar,2018,87.79
Karanganyar,2019,84.46
Karanganyar,2020,91.72
Karanganyar,2021,95.41
Karanganyar,2022,88.56
Karanganyar,2023,88.64
Sragen,2016,126.76
Sragen,2017,124.01
Sragen,2018,116.37
Sragen,2019,113.83
Sragen,2020,119.38
Sragen,2021,122.91
Sragen,2022,115.14
Sragen,2023,114.62
Grobogan,2016,184.14
Grobogan,2017,180.95
Grobogan,2018,168.7
Grobogan,2019,161.92
Grobogan,2020,172.26
Grobogan,2021,175.72
Grobogan,2022,163.2
Grobogan,2023,162.52
Blora,2016,113.94
Blora,2017,111.88
Blora,2018,102.5
Blora,2019,97.86
Blora,2020,103.73
Blora,2021,107.05
Blora,2022,99.83
Blora,2023,99.61
Rembang,2016,115.49
Rembang,2017,115.19
Rembang,2018,97.44
Rembang,2019,95.26
Rembang,2020,100.08
Rembang,2021,101.4
Rembang,2022,94.56
Rembang,2023,91.97
Pati,2016,144.2
Pati,2017,141.73
Pati,2018,123.94
Pati,2019,118.98
Pati,2020,127.37
Pati,2021,128.74
Pati,2022,118.04
Pati,2023,118.18
Kudus,2016,64.19
Kudus,2017,64.45
Kudus,2018,59.99
Kudus,2019,58
Kudus,2020,64.24
Kudus,2021,67.06
Kudus,2022,66.06
Kudus,2023,65.16
Jepara,2016,100.32
Jepara,2017,98.98
Jepara,2018,86.54
Jepara,2019,83.47
Jepara,2020,91.14
Jepara,2021,95.22
Jepara,2022,89.08
Jepara,2023,86.75
Demak,2016,158.84
Demak,2017,152.62
Demak,2018,144.12
Demak,2019,137.6
Demak,2020,146.87
Demak,2021,151.74
Demak,2022,143.01
Demak,2023,143.26
Semarang,2016,80.72
Semarang,2017,79.66
Semarang,2018,75.67
Semarang,2019,73.9
Semarang,2020,79.88
Semarang,2021,83.61
Semarang,2022,78.6
Semarang,2023,78.35
Temanggung,2016,87.09
Temanggung,2017,86.77
Temanggung,2018,75.39
Temanggung,2019,72.57
Temanggung,2020,77.33
Temanggung,2021,79.09
Temanggung,2022,73.04
Temanggung,2023,72.96
Kendal,2016,107.81
Kendal,2017,106.07
Kendal,2018,94.7
Kendal,2019,91.2
Kendal,2020,97.49
Kendal,2021,100
Kendal,2022,93.03
Kendal,2023,92.64
Batang,2016,82.56
Batang,2017,81.45
Batang,2018,66.08
Batang,2019,64.07
Batang,2020,70.57
Batang,2021,74.91
Batang,2022,69.94
Batang,2023,69.97
Pekalongan,2016,113.31
Pekalongan,2017,111.58
Pekalongan,2018,89.54
Pekalongan,2019,87.01
Pekalongan,2020,91.86
Pekalongan,2021,95.26
Pekalongan,2022,87.53
Pekalongan,2023,87.93
Pemalang,2016,227.08
Pemalang,2017,225
Pemalang,2018,208.34
Pemalang,2019,200.67
