Jumlah Penduduk Miskin Kabupaten Kota,,
NAMA WILAYAH,TAHUN,JUMLAH (RIBU JIWA)
Nias,2018,22.61
Nias,2019,22.1
Nias,2020,23.12
Nias,2021,24.33
Nias,2022,23.23
Nias,2023,21.99
Mandailing Natal,2016,47.67
Mandailing Natal,2017,48.3
Mandailing Natal,2018,42.39
Mandailing Natal,2019,40.64
Mandailing Natal,2020,41.31
Mandailing Natal,2021,43.24
Mandailing Natal,2022,40.98
Mandailing Natal,2023,41.04
Tapanuli Selatan,2016,30.84
Tapanuli Selatan,2017,29.48
Tapanuli Selatan,2018,25.63
Tapanuli Selatan,2019,24.22
Tapanuli Selatan,2020,23.96
Tapanuli Selatan,2021,25.01
Tapanuli Selatan,2022,23.05
Tapanuli Selatan,2023,20.09
Tapanuli Tengah,2016,51.77
Tapanuli Tengah,2017,53.05
Tapanuli Tengah,2018,48.53
Tapanuli Tengah,2019,46.99
Tapanuli Tengah,2020,47.19
Tapanuli Tengah,2021,49.95
Tapanuli Tengah,2022,47.07
Tapanuli Tengah,2023,47.09
Tapanuli Utara,2016,33.2
Tapanuli Utara,2017,33.75
Tapanuli Utara,2018,29.2
Tapanuli Utara,2019,28.57
Tapanuli Utara,2020,28.41
Tapanuli Utara,2021,29.72
Tapanuli Utara,2022,27.47
Tapanuli Utara,2023,26.39
Toba Samosir,2016,18.2
Toba Samosir,2017,18.49
Toba Samosir,2018,15.82
Toba Samosir,2019,15.78
Toba Samosir,2020,16.05
Toba Samosir,2021,16.61
Toba Samosir,2022,16.48
Toba Samosir,2023,14.94
Labuhan Batu,2016,41.94
Labuhan Batu,2017,42.35
Labuhan Batu,2018,41.7
Labuhan Batu,2019,41.52
Labuhan Batu,2020,42.17
Labuhan Batu,2021,45.03
Labuhan Batu,2022,43.27
Labuhan Batu,2023,42.58
Asahan,2016,84.35
Asahan,2017,83.67
Asahan,2018,74.14
Asahan,2019,70.53
Asahan,2020,66.32
Asahan,2021,69.29
Asahan,2022,64.49
Asahan,2023,61.69
