Giniratio Provinsi,,
NAMA WILAYAH,TAHUN,GINI RATIO (Persen)
KALIMANTAN TIMUR,2022,0.317
KALIMANTAN TIMUR,2023,0.322
KALIMANTAN UTARA,2016,0.305
KALIMANTAN UTARA,2017,0.313
KALIMANTAN UTARA,2018,0.304
KALIMANTAN UTARA,2019,0.292
KALIMANTAN UTARA,2020,0.3
KALIMANTAN UTARA,2021,0.285
KALIMANTAN UTARA,2022,0.27
KALIMANTAN UTARA,2023,0.277
SULAWESI UTARA,2016,0.379
SULAWESI UTARA,2017,0.394
SULAWESI UTARA,2018,0.372
SULAWESI UTARA,2019,0.376
SULAWESI UTARA,2020,0.368
SULAWESI UTARA,2021,0.359
SULAWESI UTARA,2022,0.359
SULAWESI UTARA,2023,0.37
SULAWESI TENGAH,2016,0.347
SULAWESI TENGAH,2017,0.345
SULAWESI TENGAH,2018,0.317
SULAWESI TENGAH,2019,0.33
SULAWESI TENGAH,2020,0.321
SULAWESI TENGAH,2021,0.326
SULAWESI TENGAH,2022,0.305
SULAWESI TENGAH,2023,0.304
SULAWESI SELATAN,2016,0.4
SULAWESI SELATAN,2017,0.429
SULAWESI SELATAN,2018,0.388
SULAWESI SELATAN,2019,0.391
SULAWESI SELATAN,2020,0.382
SULAWESI SELATAN,2021,0.377
SULAWESI SELATAN,2022,0.365
SULAWESI SELATAN,2023,0.377
SULAWESI TENGGARA,2016,0.388
SULAWESI TENGGARA,2017,0.404
SULAWESI TENGGARA,2018,0.392
SULAWESI TENGGARA,2019,0.393
SULAWESI TENGGARA,2020,0.388
SULAWESI TENGGARA,2021,0.394
SULAWESI TENGGARA,2022,0.366
SULAWESI TENGGARA,2023,0.371
GORONTALO,2016,0.41
GORONTALO,2017,0.405
GORONTALO,2018,0.417
GORONTALO,2019,0.41
GORONTALO,2020,0.406
GORONTALO,2021,0.409
GORONTALO,2022,0.423
GORONTALO,2023,0.417
SULAWESI BARAT,2016,0.371
SULAWESI BARAT,2017,0.339
SULAWESI BARAT,2018,0.366
SULAWESI BARAT,2019,0.365
SULAWESI BARAT,2020,0.356
SULAWESI BARAT,2021,0.366
SULAWESI BARAT,2022,0.371
SULAWESI BARAT,2023,0.351
MALUKU,2016,0.344
MALUKU,2017,0.321
MALUKU,2018,0.326
MALUKU,2019,0.32
MALUKU,2020,0.326
MALUKU,2021,0.316
MALUKU,2022,0.306
MALUKU,2023,0.288
MALUKU UTARA,2016,0.309
MALUKU UTARA,2017,0.33
MALUKU UTARA,2018,0.336
MALUKU UTARA,2019,0.31
MALUKU UTARA,2020,0.29
MALUKU UTARA,2021,0.278
MALUKU UTARA,2022,0.309
MALUKU UTARA,2023,0.3
PAPUA BARAT,2016,0.401
PAPUA BARAT,2017,0.387
PAPUA BARAT,2018,0.391
PAPUA BARAT,2019,0.381
PAPUA BARAT,2020,0.376
PAPUA BARAT,2021,0.374
PAPUA BARAT,2022,0.384
PAPUA BARAT,2023,0.37
PAPUA BARAT DAYA,2016,-
PAPUA BARAT DAYA,2017,-
PAPUA BARAT DAYA,2018,-
PAPUA BARAT DAYA,2019,-
PAPUA BARAT DAYA,2020,-
PAPUA BARAT DAYA,2021,-
PAPUA BARAT DAYA,2022,-
PAPUA BARAT DAYA,2023,-
PAPUA,2016,0.399
PAPUA,2017,0.398
PAPUA,2018,0.398
PAPUA,2019,0.391
PAPUA,2020,0.395
PAPUA,2021,0.396
PAPUA,2022,0.393
PAPUA,2023,0.386
PAPUA SELATAN,2016,-
