PERSENTASE PENDUDUK P0 MISKIN KABUPATEN KOTA,,
NAMA WILAYAH,TAHUN,PENDUDUK MISKIN (Persen)
LAMPUNG,2006,22.77
LAMPUNG,2007,22.19
LAMPUNG,2008,20.93
LAMPUNG,2009,19.34
LAMPUNG,2010,17.76
LAMPUNG,2011,16.58
LAMPUNG,2012,15.65
LAMPUNG,2013,14.39
LAMPUNG,2014,14.21
LAMPUNG,2015,14.35
LAMPUNG,2016,14.29
LAMPUNG,2017,13.69
LAMPUNG,2018,13.14
LAMPUNG,2019,12.62
LAMPUNG,2020,12.34
LAMPUNG,2021,12.62
LAMPUNG,2022,11.57
LAMPUNG,2023,11.11
LAMPUNG,2024,10.69
Lampung Barat,2004,21.66
Lampung Barat,2005,23.97
Lampung Barat,2006,25.36
Lampung Barat,2007,24.77
Lampung Barat,2008,21.74
Lampung Barat,2009,19.13
Lampung Barat,2010,17.12
Lampung Barat,2011,15.99
Lampung Barat,2012,15.13
Lampung Barat,2013,13.96
Lampung Barat,2014,13.7
Lampung Barat,2015,14.18
Lampung Barat,2016,15.06
Lampung Barat,2017,14.32
Lampung Barat,2018,13.54
Lampung Barat,2019,12.92
Lampung Barat,2020,12.52
Lampung Barat,2021,12.82
Lampung Barat,2022,11.71
Lampung Barat,2023,11.17
Lampung Barat,2024,10.68
Tanggamus,2004,20.97
Tanggamus,2005,19.5
Tanggamus,2006,22
Tanggamus,2007,22.17
Tanggamus,2008,20.91
Tanggamus,2009,19.79
Tanggamus,2010,18.3
Tanggamus,2011,17.06
Tanggamus,2012,16.1
Tanggamus,2013,15.24
Tanggamus,2014,14.95
Tanggamus,2015,14.26
Tanggamus,2016,14.05
Tanggamus,2017,13.25
Tanggamus,2018,12.48
Tanggamus,2019,12.05
Tanggamus,2020,11.68
Tanggamus,2021,11.81
Tanggamus,2022,10.98
Tanggamus,2023,10.52
Tanggamus,2024,10.28
Lampung Selatan,2004,28.49
Lampung Selatan,2005,26.28
Lampung Selatan,2006,27.84
Lampung Selatan,2007,26.94
Lampung Selatan,2008,24.72
Lampung Selatan,2009,22.83
Lampung Selatan,2010,20.61
Lampung Selatan,2011,19.23
Lampung Selatan,2012,18.19
Lampung Selatan,2013,17.09
Lampung Selatan,2014,16.77
Lampung Selatan,2015,16.27
Lampung Selatan,2016,16.16
Lampung Selatan,2017,15.16
Lampung Selatan,2018,14.86
Lampung Selatan,2019,14.31
Lampung Selatan,2020,14.08
Lampung Selatan,2021,14.19
Lampung Selatan,2022,13.14
Lampung Selatan,2023,12.79
Lampung Selatan,2024,12.57
Lampung Timur,2004,28.31
Lampung Timur,2005,26.2
Lampung Timur,2006,27.63
Lampung Timur,2007,27.21
Lampung Timur,2008,23.35
Lampung Timur,2009,20.86
Lampung Timur,2010,21.06
Lampung Timur,2011,19.66
Lampung Timur,2012,18.59
Lampung Timur,2013,17.38
Lampung Timur,2014,17.05
Lampung Timur,2015,16.91
Lampung Timur,2016,16.98
Lampung Timur,2017,16.35
Lampung Timur,2018,15.76
Lampung Timur,2019,15.24
Lampung Timur,2020,14.62
Lampung Timur,2021,15.08
Lampung Timur,2022,13.98
Lampung Timur,2023,13.8
Lampung Timur,2024,13.19
Lampung Tengah,2004,18.97
Lampung Tengah,2005,19.63
Lampung Tengah,2006,22.09
Lampung Tengah,2007,22.06
Lampung Tengah,2008,19.89
Lampung Tengah,2009,18.67
Lampung Tengah,2010,16.88
Lampung Tengah,2011,15.76
Lampung Tengah,2012,14.96
Lampung Tengah,2013,13.37
Lampung Tengah,2014,13.13
Lampung Tengah,2015,13.3
Lampung Tengah,2016,13.28
Lampung Tengah,2017,12.9
Lampung Tengah,2018,12.62
Lampung Tengah,2019,12.03
Lampung Tengah,2020,11.82
Lampung Tengah,2021,11.99
Lampung Tengah,2022,10.96
Lampung Tengah,2023,10.65
Lampung Tengah,2024,10.37
Lampung Utara,2004,33.81
Lampung Utara,2005,31.4
Lampung Utara,2006,32.5
Lampung Utara,2007,32.16
Lampung Utara,2008,31.24
Lampung Utara,2009,28.96
Lampung Utara,2010,28.19
Lampung Utara,2011,26.33
Lampung Utara,2012,25.16
Lampung Utara,2013,23.67
Lampung Utara,2014,23.32
Lampung Utara,2015,23.2
Lampung Utara,2016,22.92
Lampung Utara,2017,21.55
Lampung Utara,2018,20.85
Lampung Utara,2019,19.9
Lampung Utara,2020,19.3
Lampung Utara,2021,19.63
Lampung Utara,2022,18.41
Lampung Utara,2023,17.17
Lampung Utara,2024,16.92
Way Kanan,2004,30.06
Way Kanan,2005,27.57
Way Kanan,2006,26.18
Way Kanan,2007,25.96
Way Kanan,2008,22.34
Way Kanan,2009,20.92
Way Kanan,2010,18.81
Way Kanan,2011,17.63
Way Kanan,2012,16.54
Way Kanan,2013,15.36
Way Kanan,2014,15.03
Way Kanan,2015,14.61
Way Kanan,2016,14.58
Way Kanan,2017,14.06
Way Kanan,2018,13.52
Way Kanan,2019,13.07
Way Kanan,2020,12.9
Way Kanan,2021,13.09
Way Kanan,2022,11.76
Way Kanan,2023,11.02
Way Kanan,2024,10.43
Tulangbawang,2004,16.98
Tulangbawang,2005,15.03
Tulangbawang,2006,13.94
Tulangbawang,2007,13.03
Tulangbawang,2008,11.17
Tulangbawang,2009,10.48
Tulangbawang,2010,10.8
Tulangbawang,2011,10.11
Tulangbawang,2012,9.43
Tulangbawang,2013,8.04
Tulangbawang,2014,8.66
Tulangbawang,2015,10.25
Tulangbawang,2016,10.2
Tulangbawang,2017,10.09
Tulangbawang,2018,9.7
Tulangbawang,2019,9.35
Tulangbawang,2020,9.33
Tulangbawang,2021,9.67
Tulangbawang,2022,8.42
Tulangbawang,2023,8.04
Tulangbawang,2024,7.88
Pesawaran,2004,-
Pesawaran,2005,-
Pesawaran,2006,-
Pesawaran,2007,-
Pesawaran,2008,-
Pesawaran,2009,22.73
Pesawaran,2010,20.48
Pesawaran,2011,19.06
Pesawaran,2012,18.01
Pesawaran,2013,17.86
Pesawaran,2014,17.51
Pesawaran,2015,17.61
Pesawaran,2016,17.31
Pesawaran,2017,16.48
Pesawaran,2018,15.97
Pesawaran,2019,15.19
Pesawaran,2020,14.76
Pesawaran,2021,15.11
Pesawaran,2022,13.85
Pesawaran,2023,12.89
Pesawaran,2024,11.86
Pringsewu,2004,-
Pringsewu,2005,-
Pringsewu,2006,-
Pringsewu,2007,-
Pringsewu,2008,-
Pringsewu,2009,-
Pringsewu,2010,12.45
Pringsewu,2011,11.62
Pringsewu,2012,11.01
Pringsewu,2013,9.81
Pringsewu,2014,9.83
Pringsewu,2015,11.8
Pringsewu,2016,11.73
Pringsewu,2017,11.3
Pringsewu,2018,10.5
Pringsewu,2019,10.15
Pringsewu,2020,9.97
Pringsewu,2021,10.11
Pringsewu,2022,9.34
Pringsewu,2023,9.14
Pringsewu,2024,8.32
Mesuji,2004,-
Mesuji,2005,-
Mesuji,2006,-
Mesuji,2007,-
Mesuji,2008,-
Mesuji,2009,-
Mesuji,2010,8.65
Mesuji,2011,8.07
Mesuji,2012,7.69
Mesuji,2013,5.81
Mesuji,2014,6.57
Mesuji,2015,8.2
Mesuji,2016,8
Mesuji,2017,7.66
Mesuji,2018,7.55
Mesuji,2019,7.47
Mesuji,2020,7.33
Mesuji,2021,7.54
Mesuji,2022,6.84
Mesuji,2023,6.73
Mesuji,2024,6.31
Tulang Bawang Barat,2004,-
Tulang Bawang Barat,2005,-
Tulang Bawang Barat,2006,-
Tulang Bawang Barat,2007,-
Tulang Bawang Barat,2008,-
Tulang Bawang Barat,2009,-
Tulang Bawang Barat,2010,7.63
Tulang Bawang Barat,2011,7.11
Tulang Bawang Barat,2012,6.73
Tulang Bawang Barat,2013,6.31
Tulang Bawang Barat,2014,7.12
Tulang Bawang Barat,2015,8.23
Tulang Bawang Barat,2016,8.4
Tulang Bawang Barat,2017,8.11
Tulang Bawang Barat,2018,8.1
Tulang Bawang Barat,2019,7.75
Tulang Bawang Barat,2020,7.39
Tulang Bawang Barat,2021,8.32
Tulang Bawang Barat,2022,7.44
Tulang Bawang Barat,2023,7.25
Tulang Bawang Barat,2024,7.22
Pesisir Barat,2004,-
Pesisir Barat,2005,-
Pesisir Barat,2006,-
Pesisir Barat,2007,-
Pesisir Barat,2008,-
Pesisir Barat,2009,-
Pesisir Barat,2010,-
Pesisir Barat,2011,-
Pesisir Barat,2012,-
Pesisir Barat,2013,-
Pesisir Barat,2014,-
Pesisir Barat,2015,15.81
Pesisir Barat,2016,15.91
Pesisir Barat,2017,15.61
Pesisir Barat,2018,14.98
Pesisir Barat,2019,14.48
Pesisir Barat,2020,14.29
Pesisir Barat,2021,14.81
Pesisir Barat,2022,13.84
Pesisir Barat,2023,13.49
Pesisir Barat,2024,12.64
Kota Bandar Lampung,2004,7.38
Kota Bandar Lampung,2005,9.63
Kota Bandar Lampung,2006,11.22
Kota Bandar Lampung,2007,9.44
Kota Bandar Lampung,2008,15.41
Kota Bandar Lampung,2009,14.39
Kota Bandar Lampung,2010,14.58
Kota Bandar Lampung,2011,13.61
Kota Bandar Lampung,2012,12.65
Kota Bandar Lampung,2013,10.85
Kota Bandar Lampung,2014,10.6
Kota Bandar Lampung,2015,10.33
Kota Bandar Lampung,2016,10.15
Kota Bandar Lampung,2017,9.94
Kota Bandar Lampung,2018,9.04
Kota Bandar Lampung,2019,8.71
Kota Bandar Lampung,2020,8.81
Kota Bandar Lampung,2021,9.11
Kota Bandar Lampung,2022,8.21
Kota Bandar Lampung,2023,7.77
Kota Bandar Lampung,2024,7.37
Kota Metro,2004,8.16
Kota Metro,2005,9.86
Kota Metro,2006,11.92
Kota Metro,2007,11.53
Kota Metro,2008,15.91
Kota Metro,2009,15.07
Kota Metro,2010,13.77
Kota Metro,2011,12.9
Kota Metro,2012,12.09
Kota Metro,2013,11.08
Kota Metro,2014,10.82
Kota Metro,2015,10.29
Kota Metro,2016,10.15
Kota Metro,2017,9.89
Kota Metro,2018,9.14
Kota Metro,2019,8.68
Kota Metro,2020,8.47
Kota Metro,2021,8.93
Kota Metro,2022,7.87
Kota Metro,2023,7.28
Kota Metro,2024,6.78
KEP. BANGKA BELITUNG,2004,9.07
KEP. BANGKA BELITUNG,2005,9.74
KEP. BANGKA BELITUNG,2006,10.91
KEP. BANGKA BELITUNG,2007,9.54
KEP. BANGKA BELITUNG,2008,7.89
KEP. BANGKA BELITUNG,2009,7.37
KEP. BANGKA BELITUNG,2010,7.51
KEP. BANGKA BELITUNG,2011,5.16
KEP. BANGKA BELITUNG,2012,5.37
KEP. BANGKA BELITUNG,2013,5.25
KEP. BANGKA BELITUNG,2014,4.97
KEP. BANGKA BELITUNG,2015,5.4
KEP. BANGKA BELITUNG,2016,5.22
KEP. BANGKA BELITUNG,2017,5.2
KEP. BANGKA BELITUNG,2018,5.25
KEP. BANGKA BELITUNG,2019,4.62
KEP. BANGKA BELITUNG,2020,4.53
KEP. BANGKA BELITUNG,2021,4.9
KEP. BANGKA BELITUNG,2022,4.45
KEP. BANGKA BELITUNG,2023,4.52
KEP. BANGKA BELITUNG,2024,4.55
Bangka,2004,8.94
Bangka,2005,10.33
Bangka,2006,11.78
Bangka,2007,10.53
Bangka,2008,8.79
Bangka,2009,7.61
Bangka,2010,7.81
Bangka,2011,5.36
Bangka,2012,5.58
Bangka,2013,5.4
Bangka,2014,5.2
Bangka,2015,5.63
Bangka,2016,5.52
Bangka,2017,5.1
Bangka,2018,5.47
Bangka,2019,4.92
Bangka,2020,4.51
Bangka,2021,4.81
Bangka,2022,4.26
Bangka,2023,4.32
Bangka,2024,4.24
Belitung,2004,11.83
Belitung,2005,11.01
Belitung,2006,12.59
Belitung,2007,11.59
Belitung,2008,10.62
Belitung,2009,9.78
Belitung,2010,10.13
Belitung,2011,6.97
Belitung,2012,7.27
Belitung,2013,8.48
Belitung,2014,7.36
Belitung,2015,8.38
Belitung,2016,7.85
Belitung,2017,7.77
Belitung,2018,7.56
Belitung,2019,6.29
Belitung,2020,6.27
Belitung,2021,7.15
Belitung,2022,6.45
Belitung,2023,6.46
Belitung,2024,6.11
Bangka Barat,2004,7.83
Bangka Barat,2005,8.22
Bangka Barat,2006,9.17
Bangka Barat,2007,7.41
Bangka Barat,2008,5.18
Bangka Barat,2009,5.22
Bangka Barat,2010,5.25
Bangka Barat,2011,3.59
Bangka Barat,2012,3.72
Bangka Barat,2013,3.26
Bangka Barat,2014,3.15
Bangka Barat,2015,3.08
Bangka Barat,2016,2.74
Bangka Barat,2017,2.98
Bangka Barat,2018,3.05
Bangka Barat,2019,2.67
Bangka Barat,2020,2.7
Bangka Barat,2021,2.75
Bangka Barat,2022,2.46
Bangka Barat,2023,2.71
Bangka Barat,2024,2.59
Bangka Tengah,2004,9.05
Bangka Tengah,2005,10.74
Bangka Tengah,2006,11.61
Bangka Tengah,2007,10.36
Bangka Tengah,2008,8.52
Bangka Tengah,2009,7.84
Bangka Tengah,2010,8.07
Bangka Tengah,2011,5.56
Bangka Tengah,2012,5.78
Bangka Tengah,2013,5.46
Bangka Tengah,2014,5.27
Bangka Tengah,2015,5.67
Bangka Tengah,2016,5.64
Bangka Tengah,2017,6.07
Bangka Tengah,2018,5.81
Bangka Tengah,2019,5.02
Bangka Tengah,2020,4.85
Bangka Tengah,2021,5.13
Bangka Tengah,2022,4.86
Bangka Tengah,2023,5.29
Bangka Tengah,2024,5.94
Bangka Selatan,2004,8.92
Bangka Selatan,2005,8.34
Bangka Selatan,2006,8.86
Bangka Selatan,2007,6.71
Bangka Selatan,2008,5.6
Bangka Selatan,2009,6.04
Bangka Selatan,2010,6.18
Bangka Selatan,2011,4.23
Bangka Selatan,2012,4.41
Bangka Selatan,2013,4.01
Bangka Selatan,2014,3.87
Bangka Selatan,2015,3.74
Bangka Selatan,2016,3.62
Bangka Selatan,2017,3.92
Bangka Selatan,2018,3.7
Bangka Selatan,2019,3.36
Bangka Selatan,2020,3.52
Bangka Selatan,2021,3.69
Bangka Selatan,2022,3.22
Bangka Selatan,2023,3.11
Bangka Selatan,2024,3.74
Belitung Timur,2004,12.52
Belitung Timur,2005,14.87
Belitung Timur,2006,16.94
Belitung Timur,2007,15.58
Belitung Timur,2008,12.61
Belitung Timur,2009,11.07
Belitung Timur,2010,10.36
Belitung Timur,2011,7.13
Belitung Timur,2012,7.44
Belitung Timur,2013,6.9
Belitung Timur,2014,6.68
Belitung Timur,2015,7.33
Belitung Timur,2016,6.99
Belitung Timur,2017,6.81
Belitung Timur,2018,7.06
Belitung Timur,2019,6.6
Belitung Timur,2020,6.52
Belitung Timur,2021,7.2
Belitung Timur,2022,6.49
Belitung Timur,2023,6.73
Belitung Timur,2024,6.36
Kota Pangkal Pinang,2004,5.95
Kota Pangkal Pinang,2005,6.63
Kota Pangkal Pinang,2006,7.6
Kota Pangkal Pinang,2007,6.85
Kota Pangkal Pinang,2008,5.74
Kota Pangkal Pinang,2009,5.79
Kota Pangkal Pinang,2010,6.02
Kota Pangkal Pinang,2011,4.15
Kota Pangkal Pinang,2012,4.29
Kota Pangkal Pinang,2013,4.15
Kota Pangkal Pinang,2014,4.04
Kota Pangkal Pinang,2015,4.97
Kota Pangkal Pinang,2016,5.02
Kota Pangkal Pinang,2017,4.8
Kota Pangkal Pinang,2018,4.95
Kota Pangkal Pinang,2019,4.25
Kota Pangkal Pinang,2020,4.36
Kota Pangkal Pinang,2021,4.76
Kota Pangkal Pinang,2022,4.55
Kota Pangkal Pinang,2023,4.27
Kota Pangkal Pinang,2024,4.04
KEPULAUAN RIAU,2004,-
KEPULAUAN RIAU,2005,10.97
KEPULAUAN RIAU,2006,12.16
KEPULAUAN RIAU,2007,10.3
KEPULAUAN RIAU,2008,8.73
KEPULAUAN RIAU,2009,7.98
KEPULAUAN RIAU,2010,8.13
KEPULAUAN RIAU,2011,6.79
KEPULAUAN RIAU,2012,6.83
KEPULAUAN RIAU,2013,6.35
KEPULAUAN RIAU,2014,6.4
KEPULAUAN RIAU,2015,6.24
KEPULAUAN RIAU,2016,5.98
KEPULAUAN RIAU,2017,6.06
KEPULAUAN RIAU,2018,6.2
KEPULAUAN RIAU,2019,5.9
KEPULAUAN RIAU,2020,5.92
KEPULAUAN RIAU,2021,6.12
KEPULAUAN RIAU,2022,6.24
KEPULAUAN RIAU,2023,5.69
KEPULAUAN RIAU,2024,5.37
Karimun,2004,6.16
Karimun,2005,9.49
Karimun,2006,8.35
Karimun,2007,8.69
Karimun,2008,7.29
Karimun,2009,6.48
Karimun,2010,7.21
Karimun,2011,5.93
Karimun,2012,6.37
Karimun,2013,6.69
Karimun,2014,6.85
Karimun,2015,6.6
Karimun,2016,6.77
Karimun,2017,7.41
Karimun,2018,6.9
Karimun,2019,6.61
Karimun,2020,6.83
Karimun,2021,6.85
Karimun,2022,6.87
Karimun,2023,5.95
Karimun,2024,5.78
Bintan,2004,12.53
Bintan,2005,14.51
Bintan,2006,13.59
Bintan,2007,11.73
Bintan,2008,7.61
Bintan,2009,7.01
Bintan,2010,7.33
Bintan,2011,6.04
Bintan,2012,6.29
Bintan,2013,6.23
Bintan,2014,6.09
Bintan,2015,6.07
Bintan,2016,6.43
Bintan,2017,6.01
Bintan,2018,6.61
Bintan,2019,6.37
Bintan,2020,6.36
Bintan,2021,6.42
Bintan,2022,6.44
Bintan,2023,5.9
Bintan,2024,5.44
Natuna,2004,5.19
Natuna,2005,9.35
Natuna,2006,10.57
Natuna,2007,8.74
Natuna,2008,4.83
Natuna,2009,4.35
Natuna,2010,4.83
Natuna,2011,4.06
Natuna,2012,4.25
Natuna,2013,3.78
Natuna,2014,4.11
Natuna,2015,4.34
Natuna,2016,4.33
Natuna,2017,4.64
Natuna,2018,4.68
Natuna,2019,4.42
Natuna,2020,4.43
Natuna,2021,4.95
Natuna,2022,5.32
Natuna,2023,5.25
Natuna,2024,5.04
Lingga,2004,-
Lingga,2005,31
Lingga,2006,32.27
Lingga,2007,30.06
Lingga,2008,18.19
Lingga,2009,16.56
Lingga,2010,15.81
Lingga,2011,12.98
Lingga,2012,14.15
Lingga,2013,14.03
Lingga,2014,14.75
Lingga,2015,14.95
Lingga,2016,14.36
Lingga,2017,13.84
Lingga,2018,13.55
Lingga,2019,12.88
Lingga,2020,13.85
Lingga,2021,13.93
Lingga,2022,14.05
Lingga,2023,11.26
Lingga,2024,9.99
Kepulauan Anambas,2004,-
Kepulauan Anambas,2005,-
Kepulauan Anambas,2006,-
Kepulauan Anambas,2007,-
Kepulauan Anambas,2008,-
Kepulauan Anambas,2009,-
Kepulauan Anambas,2010,4.8
Kepulauan Anambas,2011,3.95
Kepulauan Anambas,2012,4.17
Kepulauan Anambas,2013,4.47
Kepulauan Anambas,2014,4.91
Kepulauan Anambas,2015,6.58
Kepulauan Anambas,2016,6.73
Kepulauan Anambas,2017,6.87
Kepulauan Anambas,2018,6.93
Kepulauan Anambas,2019,6.44
Kepulauan Anambas,2020,6.56
Kepulauan Anambas,2021,7.09
Kepulauan Anambas,2022,7.51
Kepulauan Anambas,2023,6.95
Kepulauan Anambas,2024,6.67
Kota Batam,2004,5.1
Kota Batam,2005,7.7
Kota Batam,2006,10
Kota Batam,2007,7.65
Kota Batam,2008,7.22
Kota Batam,2009,6.76
Kota Batam,2010,7.26
Kota Batam,2011,6.11
Kota Batam,2012,5.89
Kota Batam,2013,5.2
Kota Batam,2014,5.3
Kota Batam,2015,5.08
Kota Batam,2016,4.68
Kota Batam,2017,4.81
Kota Batam,2018,5.11
Kota Batam,2019,4.85
Kota Batam,2020,4.75
Kota Batam,2021,5.05
Kota Batam,2022,5.19
Kota Batam,2023,5.02
Kota Batam,2024,4.85
Kota Tanjung Pinang,2004,10.4
Kota Tanjung Pinang,2005,13.24
Kota Tanjung Pinang,2006,14.85
Kota Tanjung Pinang,2007,12.92
Kota Tanjung Pinang,2008,14.3
Kota Tanjung Pinang,2009,13.42
Kota Tanjung Pinang,2010,12.6
Kota Tanjung Pinang,2011,10.52
Kota Tanjung Pinang,2012,11.03
Kota Tanjung Pinang,2013,10.4
Kota Tanjung Pinang,2014,9.94
Kota Tanjung Pinang,2015,9.56
Kota Tanjung Pinang,2016,9.34
Kota Tanjung Pinang,2017,9.29
Kota Tanjung Pinang,2018,9.24
Kota Tanjung Pinang,2019,9.03
Kota Tanjung Pinang,2020,9.37
Kota Tanjung Pinang,2021,9.57
Kota Tanjung Pinang,2022,9.85
Kota Tanjung Pinang,2023,7.95
Kota Tanjung Pinang,2024,6.86
DKI JAKARTA,2004,3.18
DKI JAKARTA,2005,3.61
DKI JAKARTA,2006,4.57
DKI JAKARTA,2007,4.61
DKI JAKARTA,2008,3.86
DKI JAKARTA,2009,3.8
DKI JAKARTA,2010,4.04
DKI JAKARTA,2011,3.64
DKI JAKARTA,2012,3.7
DKI JAKARTA,2013,3.72
DKI JAKARTA,2014,4.09
DKI JAKARTA,2015,3.93
DKI JAKARTA,2016,3.75
DKI JAKARTA,2017,3.77
DKI JAKARTA,2018,3.57
DKI JAKARTA,2019,3.47
DKI JAKARTA,2020,4.53
DKI JAKARTA,2021,4.72
DKI JAKARTA,2022,4.69
DKI JAKARTA,2023,4.44
DKI JAKARTA,2024,4.3
Kepulauan Seribu,2004,14.99
Kepulauan Seribu,2005,14.64
Kepulauan Seribu,2006,16.64
Kepulauan Seribu,2007,15.12
Kepulauan Seribu,2008,13.56
Kepulauan Seribu,2009,12.66
Kepulauan Seribu,2010,13.01
Kepulauan Seribu,2011,11.53
Kepulauan Seribu,2012,11.62
Kepulauan Seribu,2013,11.01
Kepulauan Seribu,2014,11.56
Kepulauan Seribu,2015,11.4
Kepulauan Seribu,2016,12.58
Kepulauan Seribu,2017,12.98
Kepulauan Seribu,2018,11.98
Kepulauan Seribu,2019,12.09
Kepulauan Seribu,2020,14.87
Kepulauan Seribu,2021,15.06
Kepulauan Seribu,2022,14.11
Kepulauan Seribu,2023,13.13
Kepulauan Seribu,2024,13.03
Kota Jakarta Selatan,2004,2.25
Kota Jakarta Selatan,2005,3.36
Kota Jakarta Selatan,2006,3.74
Kota Jakarta Selatan,2007,3.74
Kota Jakarta Selatan,2008,3.41
Kota Jakarta Selatan,2009,3.52
Kota Jakarta Selatan,2010,3.81
Kota Jakarta Selatan,2011,3.43
Kota Jakarta Selatan,2012,3.49
Kota Jakarta Selatan,2013,3.47
Kota Jakarta Selatan,2014,3.72
Kota Jakarta Selatan,2015,3.41
Kota Jakarta Selatan,2016,3.27
Kota Jakarta Selatan,2017,3.14
Kota Jakarta Selatan,2018,2.83
Kota Jakarta Selatan,2019,2.73
Kota Jakarta Selatan,2020,3.43
Kota Jakarta Selatan,2021,3.56
Kota Jakarta Selatan,2022,3.52
Kota Jakarta Selatan,2023,3.1
Kota Jakarta Selatan,2024,3.03
Kota Jakarta Timur,2004,2.51
Kota Jakarta Timur,2005,2.85
Kota Jakarta Timur,2006,3.55
Kota Jakarta Timur,2007,4.02
Kota Jakarta Timur,2008,3.39
Kota Jakarta Timur,2009,3.42
Kota Jakarta Timur,2010,3.41
Kota Jakarta Timur,2011,3.06
Kota Jakarta Timur,2012,3.12
Kota Jakarta Timur,2013,3.1
Kota Jakarta Timur,2014,3.43
Kota Jakarta Timur,2015,3.24
Kota Jakarta Timur,2016,3.19
Kota Jakarta Timur,2017,3.31
Kota Jakarta Timur,2018,3.14
Kota Jakarta Timur,2019,3.12
Kota Jakarta Timur,2020,4.16
Kota Jakarta Timur,2021,4.28
Kota Jakarta Timur,2022,4.3
Kota Jakarta Timur,2023,4.2
Kota Jakarta Timur,2024,4.09
Kota Jakarta Pusat,2004,3.91
Kota Jakarta Pusat,2005,3.17
Kota Jakarta Pusat,2006,4.92
Kota Jakarta Pusat,2007,3.99
Kota Jakarta Pusat,2008,3.58
Kota Jakarta Pusat,2009,3.68
Kota Jakarta Pusat,2010,3.97
Kota Jakarta Pusat,2011,3.56
Kota Jakarta Pusat,2012,3.72
Kota Jakarta Pusat,2013,3.7
Kota Jakarta Pusat,2014,4.12
Kota Jakarta Pusat,2015,4.16
Kota Jakarta Pusat,2016,3.91
Kota Jakarta Pusat,2017,3.78
Kota Jakarta Pusat,2018,3.59
Kota Jakarta Pusat,2019,3.68
Kota Jakarta Pusat,2020,4.51
Kota Jakarta Pusat,2021,4.94
Kota Jakarta Pusat,2022,4.9
Kota Jakarta Pusat,2023,4.68
Kota Jakarta Pusat,2024,4.63
Kota Jakarta Barat,2004,3.1
Kota Jakarta Barat,2005,2.84
Kota Jakarta Barat,2006,4.22
Kota Jakarta Barat,2007,4.04
Kota Jakarta Barat,2008,3.41
Kota Jakarta Barat,2009,3.44
Kota Jakarta Barat,2010,3.81
Kota Jakarta Barat,2011,3.44
Kota Jakarta Barat,2012,3.47
Kota Jakarta Barat,2013,3.46
Kota Jakarta Barat,2014,3.72
Kota Jakarta Barat,2015,3.64
Kota Jakarta Barat,2016,3.38
Kota Jakarta Barat,2017,3.45
Kota Jakarta Barat,2018,3.39
Kota Jakarta Barat,2019,3.25
Kota Jakarta Barat,2020,4.25
Kota Jakarta Barat,2021,4.31
Kota Jakarta Barat,2022,4.22
Kota Jakarta Barat,2023,4.09
Kota Jakarta Barat,2024,3.94
Kota Jakarta Utara,2004,5.08
Kota Jakarta Utara,2005,6.48
Kota Jakarta Utara,2006,7.58
Kota Jakarta Utara,2007,7.95
Kota Jakarta Utara,2008,6.02
Kota Jakarta Utara,2009,5.34
Kota Jakarta Utara,2010,5.62
Kota Jakarta Utara,2011,5.07
Kota Jakarta Utara,2012,5.14
Kota Jakarta Utara,2013,5.3
Kota Jakarta Utara,2014,6
Kota Jakarta Utara,2015,5.91
Kota Jakarta Utara,2016,5.57
Kota Jakarta Utara,2017,5.59
Kota Jakarta Utara,2018,5.35
Kota Jakarta Utara,2019,5.04
Kota Jakarta Utara,2020,6.78
Kota Jakarta Utara,2021,7.24
Kota Jakarta Utara,2022,7.24
Kota Jakarta Utara,2023,6.78
Kota Jakarta Utara,2024,6.44
JAWA BARAT,2004,12.1
JAWA BARAT,2005,13.06
JAWA BARAT,2006,14.49
JAWA BARAT,2007,13.55
JAWA BARAT,2008,12.74
JAWA BARAT,2009,11.58
JAWA BARAT,2010,10.93
JAWA BARAT,2011,10.57
JAWA BARAT,2012,9.88
JAWA BARAT,2013,9.61
JAWA BARAT,2014,9.18
JAWA BARAT,2015,9.53
JAWA BARAT,2016,8.95
JAWA BARAT,2017,8.71
JAWA BARAT,2018,7.45
JAWA BARAT,2019,6.91
JAWA BARAT,2020,7.88
JAWA BARAT,2021,8.4
JAWA BARAT,2022,8.06
JAWA BARAT,2023,7.62
JAWA BARAT,2024,7.46
Bogor,2004,11.94
Bogor,2005,12.5
Bogor,2006,13.83
Bogor,2007,13.1
Bogor,2008,12.11
Bogor,2009,10.81
Bogor,2010,9.97
Bogor,2011,9.65
Bogor,2012,8.83
Bogor,2013,9.54
Bogor,2014,8.91
Bogor,2015,8.96
Bogor,2016,8.83
Bogor,2017,8.57
Bogor,2018,7.14
Bogor,2019,6.66
Bogor,2020,7.69
Bogor,2021,8.13
Bogor,2022,7.73
Bogor,2023,7.27
Bogor,2024,7.05
Sukabumi,2004,14.7
Sukabumi,2005,16.57
Sukabumi,2006,17.66
Sukabumi,2007,15.98
Sukabumi,2008,13.26
Sukabumi,2009,11.78
Sukabumi,2010,10.65
Sukabumi,2011,10.28
Sukabumi,2012,9.79
Sukabumi,2013,9.24
Sukabumi,2014,8.81
Sukabumi,2015,8.96
Sukabumi,2016,8.13
Sukabumi,2017,8.04
Sukabumi,2018,6.76
Sukabumi,2019,6.22
Sukabumi,2020,7.09
Sukabumi,2021,7.7
Sukabumi,2022,7.34
Sukabumi,2023,7.01
Sukabumi,2024,6.87
Cianjur,2004,17.36
Cianjur,2005,17.57
Cianjur,2006,19.81
