PERSENTASE PENDUDUK P0 MISKIN KABUPATEN KOTA,,
NAMA WILAYAH,TAHUN,PENDUDUK MISKIN (Persen)
Bireuen,2007,27.18
Bireuen,2008,23.27
Bireuen,2009,21.65
Bireuen,2010,19.5
Bireuen,2011,19.06
Bireuen,2012,18.21
Bireuen,2013,17.65
Bireuen,2014,16.94
Bireuen,2015,16.94
Bireuen,2016,15.95
Bireuen,2017,15.87
Bireuen,2018,14.31
Bireuen,2019,13.56
Bireuen,2020,13.06
Bireuen,2021,13.25
Bireuen,2022,12.51
Bireuen,2023,12.12
Bireuen,2024,12.1
Aceh Utara,2004,34.21
Aceh Utara,2005,35.14
Aceh Utara,2006,34.98
Aceh Utara,2007,33.16
Aceh Utara,2008,27.56
Aceh Utara,2009,25.29
Aceh Utara,2010,23.43
Aceh Utara,2011,22.89
Aceh Utara,2012,21.89
Aceh Utara,2013,20.34
Aceh Utara,2014,19.58
Aceh Utara,2015,19.2
Aceh Utara,2016,19.46
Aceh Utara,2017,19.78
Aceh Utara,2018,18.27
Aceh Utara,2019,17.39
Aceh Utara,2020,17.02
Aceh Utara,2021,17.43
Aceh Utara,2022,16.86
Aceh Utara,2023,16.64
Aceh Utara,2024,16.11
Aceh Barat Daya,2004,27.98
Aceh Barat Daya,2005,27.71
Aceh Barat Daya,2006,28.3
Aceh Barat Daya,2007,28.63
Aceh Barat Daya,2008,23.42
Aceh Barat Daya,2009,21.33
Aceh Barat Daya,2010,19.93
Aceh Barat Daya,2011,19.49
Aceh Barat Daya,2012,18.51
Aceh Barat Daya,2013,18.92
Aceh Barat Daya,2014,17.99
Aceh Barat Daya,2015,18.25
Aceh Barat Daya,2016,18.03
Aceh Barat Daya,2017,18.31
Aceh Barat Daya,2018,17.1
Aceh Barat Daya,2019,16.26
Aceh Barat Daya,2020,15.93
Aceh Barat Daya,2021,16.34
Aceh Barat Daya,2022,15.44
Aceh Barat Daya,2023,15.43
Aceh Barat Daya,2024,15.32
Gayo Lues,2004,32.38
Gayo Lues,2005,33.28
Gayo Lues,2006,33.51
Gayo Lues,2007,32.31
Gayo Lues,2008,26.57
Gayo Lues,2009,24.22
Gayo Lues,2010,23.9
Gayo Lues,2011,23.38
Gayo Lues,2012,22.3
Gayo Lues,2013,22.33
Gayo Lues,2014,21.43
Gayo Lues,2015,21.95
Gayo Lues,2016,21.86
Gayo Lues,2017,21.97
Gayo Lues,2018,20.7
Gayo Lues,2019,19.87
Gayo Lues,2020,19.32
Gayo Lues,2021,19.64
Gayo Lues,2022,18.87
Gayo Lues,2023,18.82
Gayo Lues,2024,18.3
Aceh Tamiang,2004,25.23
Aceh Tamiang,2005,24
Aceh Tamiang,2006,23.89
Aceh Tamiang,2007,22.19
Aceh Tamiang,2008,22.29
Aceh Tamiang,2009,19.96
Aceh Tamiang,2010,17.98
Aceh Tamiang,2011,17.49
Aceh Tamiang,2012,16.7
Aceh Tamiang,2013,15.13
Aceh Tamiang,2014,14.58
Aceh Tamiang,2015,14.57
Aceh Tamiang,2016,14.51
Aceh Tamiang,2017,14.69
Aceh Tamiang,2018,14.21
Aceh Tamiang,2019,13.38
Aceh Tamiang,2020,13.08
Aceh Tamiang,2021,13.34
Aceh Tamiang,2022,12.61
Aceh Tamiang,2023,12.51
Aceh Tamiang,2024,12.17
Nagan Raya,2004,35.54
Nagan Raya,2005,35.44
Nagan Raya,2006,35.25
Nagan Raya,2007,33.61
Nagan Raya,2008,28.11
Nagan Raya,2009,26.22
Nagan Raya,2010,24.06
Nagan Raya,2011,23.38
Nagan Raya,2012,22.27
Nagan Raya,2013,21.75
Nagan Raya,2014,20.85
Nagan Raya,2015,20.13
Nagan Raya,2016,19.25
Nagan Raya,2017,19.34
Nagan Raya,2018,18.97
Nagan Raya,2019,17.97
Nagan Raya,2020,17.7
Nagan Raya,2021,18.23
Nagan Raya,2022,17.38
Nagan Raya,2023,17.25
Nagan Raya,2024,16.94
Aceh Jaya,2004,31.6
Aceh Jaya,2005,30.65
Aceh Jaya,2006,30.42
Aceh Jaya,2007,29.28
Aceh Jaya,2008,23.86
Aceh Jaya,2009,21.86
