Tingkat Partisipasi Angkatan Kerja Menurut Jenis Kelamin 2018-2023,,,
NAMA WILAYAH,JENIS KELAMIN,TAHUN,TINGKAT PARTISIPASI (Persen)
Kota Madiun,Laki - Laki,2022,75.94
Kota Madiun,Laki - Laki,2023,78.69
Kota Surabaya,Laki - Laki,2018,81.21
Kota Surabaya,Laki - Laki,2019,81.79
Kota Surabaya,Laki - Laki,2020,81.23
Kota Surabaya,Laki - Laki,2021,81.69
Kota Surabaya,Laki - Laki,2022,85.07
Kota Surabaya,Laki - Laki,2023,80.25
Kota Batu,Laki - Laki,2018,85
Kota Batu,Laki - Laki,2019,84.6
Kota Batu,Laki - Laki,2020,84.73
Kota Batu,Laki - Laki,2021,86.04
Kota Batu,Laki - Laki,2022,86.38
Kota Batu,Laki - Laki,2023,88.43
BANTEN,Laki - Laki,2018,80.85
BANTEN,Laki - Laki,2019,81.73
BANTEN,Laki - Laki,2020,81.7
BANTEN,Laki - Laki,2021,80.16
BANTEN,Laki - Laki,2022,81.69
BANTEN,Laki - Laki,2023,82.16
Pandeglang,Laki - Laki,2018,82.55
Pandeglang,Laki - Laki,2019,80.73
Pandeglang,Laki - Laki,2020,79.99
Pandeglang,Laki - Laki,2021,81.71
Pandeglang,Laki - Laki,2022,81.85
Pandeglang,Laki - Laki,2023,77.78
Lebak,Laki - Laki,2018,81.59
Lebak,Laki - Laki,2019,83.08
Lebak,Laki - Laki,2020,86
Lebak,Laki - Laki,2021,82.33
Lebak,Laki - Laki,2022,82.32
Lebak,Laki - Laki,2023,84.73
Tangerang,Laki - Laki,2018,83.36
Tangerang,Laki - Laki,2019,83.95
Tangerang,Laki - Laki,2020,82.9
Tangerang,Laki - Laki,2021,81
Tangerang,Laki - Laki,2022,83.06
Tangerang,Laki - Laki,2023,85.07
Serang,Laki - Laki,2018,80.61
Serang,Laki - Laki,2019,81.47
Serang,Laki - Laki,2020,81.8
Serang,Laki - Laki,2021,80.67
Serang,Laki - Laki,2022,81.51
Serang,Laki - Laki,2023,81.52
Kota Tangerang,Laki - Laki,2018,79.22
Kota Tangerang,Laki - Laki,2019,81.69
Kota Tangerang,Laki - Laki,2020,80.79
Kota Tangerang,Laki - Laki,2021,79.28
Kota Tangerang,Laki - Laki,2022,83.57
Kota Tangerang,Laki - Laki,2023,79.92
Kota Cilegon,Laki - Laki,2018,81.12
Kota Cilegon,Laki - Laki,2019,80.62
Kota Cilegon,Laki - Laki,2020,80.32
Kota Cilegon,Laki - Laki,2021,78.39
Kota Cilegon,Laki - Laki,2022,85.31
Kota Cilegon,Laki - Laki,2023,82.76
Kota Serang,Laki - Laki,2018,76.02
Kota Serang,Laki - Laki,2019,81.44
Kota Serang,Laki - Laki,2020,81.41
Kota Serang,Laki - Laki,2021,78.47
Kota Serang,Laki - Laki,2022,79.65
Kota Serang,Laki - Laki,2023,84.56
Kota Tangerang Selatan,Laki - Laki,2018,77.94
Kota Tangerang Selatan,Laki - Laki,2019,77.33
Kota Tangerang Selatan,Laki - Laki,2020,78.71
Kota Tangerang Selatan,Laki - Laki,2021,77.61
Kota Tangerang Selatan,Laki - Laki,2022,75.76
Kota Tangerang Selatan,Laki - Laki,2023,79.16
BALI,Laki - Laki,2018,82.94
BALI,Laki - Laki,2019,81.82
BALI,Laki - Laki,2020,80.75
BALI,Laki - Laki,2021,79.44
BALI,Laki - Laki,2022,84.06
BALI,Laki - Laki,2023,83.55
Jembrana,Laki - Laki,2018,85.21
Jembrana,Laki - Laki,2019,78.91
Jembrana,Laki - Laki,2020,83.12
Jembrana,Laki - Laki,2021,90.38
Jembrana,Laki - Laki,2022,85.91
Jembrana,Laki - Laki,2023,85.49
Tabanan,Laki - Laki,2018,83.65
Tabanan,Laki - Laki,2019,83.12
Tabanan,Laki - Laki,2020,81.26
Tabanan,Laki - Laki,2021,81.43
Tabanan,Laki - Laki,2022,83.15
Tabanan,Laki - Laki,2023,81.28
Badung,Laki - Laki,2018,79.61
Badung,Laki - Laki,2019,80.95
Badung,Laki - Laki,2020,81.25
Badung,Laki - Laki,2021,77.65
Badung,Laki - Laki,2022,80.15
Badung,Laki - Laki,2023,81.42
Gianyar,Laki - Laki,2018,83.09
Gianyar,Laki - Laki,2019,82.37
Gianyar,Laki - Laki,2020,78.11
Gianyar,Laki - Laki,2021,76.13
Gianyar,Laki - Laki,2022,85.1
Gianyar,Laki - Laki,2023,82.08
Klungkung,Laki - Laki,2018,80.49
Klungkung,Laki - Laki,2019,80.34
Klungkung,Laki - Laki,2020,78.69
Klungkung,Laki - Laki,2021,75.38
Klungkung,Laki - Laki,2022,85.1
Klungkung,Laki - Laki,2023,84.97
Bangli,Laki - Laki,2018,88.7
Bangli,Laki - Laki,2019,85.79
Bangli,Laki - Laki,2020,86.22
Bangli,Laki - Laki,2021,84.98
Bangli,Laki - Laki,2022,87.24
Bangli,Laki - Laki,2023,86.5
Karangasem,Laki - Laki,2018,84.17
Karangasem,Laki - Laki,2019,83.99
Karangasem,Laki - Laki,2020,83.23
Karangasem,Laki - Laki,2021,84.65
Karangasem,Laki - Laki,2022,88.69
Karangasem,Laki - Laki,2023,89.5
Buleleng,Laki - Laki,2018,82.68
Buleleng,Laki - Laki,2019,78.41
Buleleng,Laki - Laki,2020,80.87
Buleleng,Laki - Laki,2021,80.35
Buleleng,Laki - Laki,2022,85.85
Buleleng,Laki - Laki,2023,83.82
Kota Denpasar,Laki - Laki,2018,82.94
Kota Denpasar,Laki - Laki,2019,83.02
Kota Denpasar,Laki - Laki,2020,78.91
Kota Denpasar,Laki - Laki,2021,75.33
Kota Denpasar,Laki - Laki,2022,82.36
Kota Denpasar,Laki - Laki,2023,81.31
NUSA TENGGARA BARAT,Laki - Laki,2018,80
NUSA TENGGARA BARAT,Laki - Laki,2019,83.43
NUSA TENGGARA BARAT,Laki - Laki,2020,82.94
NUSA TENGGARA BARAT,Laki - Laki,2021,82.58
NUSA TENGGARA BARAT,Laki - Laki,2022,83.27
NUSA TENGGARA BARAT,Laki - Laki,2023,84.18
Lombok Barat,Laki - Laki,2018,76.09
Lombok Barat,Laki - Laki,2019,84.18
Lombok Barat,Laki - Laki,2020,81.93
Lombok Barat,Laki - Laki,2021,83.24
Lombok Barat,Laki - Laki,2022,83.7
Lombok Barat,Laki - Laki,2023,85.25
Lombok Tengah,Laki - Laki,2018,79.52
Lombok Tengah,Laki - Laki,2019,82.52
Lombok Tengah,Laki - Laki,2020,84.77
Lombok Tengah,Laki - Laki,2021,85.77
Lombok Tengah,Laki - Laki,2022,85.1
Lombok Tengah,Laki - Laki,2023,86.54
Lombok Timur,Laki - Laki,2018,76.51
Lombok Timur,Laki - Laki,2019,83.08
Lombok Timur,Laki - Laki,2020,82.66
Lombok Timur,Laki - Laki,2021,82.5
Lombok Timur,Laki - Laki,2022,82.81
Lombok Timur,Laki - Laki,2023,82.04
Sumbawa,Laki - Laki,2018,87.91
Sumbawa,Laki - Laki,2019,86.01
Sumbawa,Laki - Laki,2020,83.93
Sumbawa,Laki - Laki,2021,82.2
Sumbawa,Laki - Laki,2022,86.87
Sumbawa,Laki - Laki,2023,83.59
Dompu,Laki - Laki,2018,82.2
Dompu,Laki - Laki,2019,84.5
Dompu,Laki - Laki,2020,85.24
Dompu,Laki - Laki,2021,84.81
Dompu,Laki - Laki,2022,84.82
Dompu,Laki - Laki,2023,86.73
Bima,Laki - Laki,2018,86.51
Bima,Laki - Laki,2019,86.93
Bima,Laki - Laki,2020,84.37
Bima,Laki - Laki,2021,82.74
Bima,Laki - Laki,2022,82.73
Bima,Laki - Laki,2023,86.29
Sumbawa Barat,Laki - Laki,2018,86.7
Sumbawa Barat,Laki - Laki,2019,86.2
Sumbawa Barat,Laki - Laki,2020,85.41
Sumbawa Barat,Laki - Laki,2021,85.11
Sumbawa Barat,Laki - Laki,2022,88.51
Sumbawa Barat,Laki - Laki,2023,84.31
Lombok Utara,Laki - Laki,2018,
Lombok Utara,Laki - Laki,2019,86.34
Lombok Utara,Laki - Laki,2020,84.44
Lombok Utara,Laki - Laki,2021,84.27
Lombok Utara,Laki - Laki,2022,87.44
Lombok Utara,Laki - Laki,2023,85.71
Kota Mataram,Laki - Laki,2018,76.36
Kota Mataram,Laki - Laki,2019,76.72
Kota Mataram,Laki - Laki,2020,76.76
Kota Mataram,Laki - Laki,2021,73.22
Kota Mataram,Laki - Laki,2022,74.85
Kota Mataram,Laki - Laki,2023,77.88
Kota Bima,Laki - Laki,2018,81.91
Kota Bima,Laki - Laki,2019,82.65
Kota Bima,Laki - Laki,2020,83.47
Kota Bima,Laki - Laki,2021,84.92
Kota Bima,Laki - Laki,2022,79.6
Kota Bima,Laki - Laki,2023,86.77
NUSA TENGGARA TIMUR,Laki - Laki,2018,83
NUSA TENGGARA TIMUR,Laki - Laki,2019,81.31
NUSA TENGGARA TIMUR,Laki - Laki,2020,82.64
NUSA TENGGARA TIMUR,Laki - Laki,2021,82.53
NUSA TENGGARA TIMUR,Laki - Laki,2022,82.85
NUSA TENGGARA TIMUR,Laki - Laki,2023,83.03
Sumba Barat,Laki - Laki,2018,76.59
Sumba Barat,Laki - Laki,2019,80.59
Sumba Barat,Laki - Laki,2020,79.69
Sumba Barat,Laki - Laki,2021,81.76
Sumba Barat,Laki - Laki,2022,81.66
Sumba Barat,Laki - Laki,2023,84.24
Sumba Timur,Laki - Laki,2018,87.68
Sumba Timur,Laki - Laki,2019,81.49
Sumba Timur,Laki - Laki,2020,81.16
Sumba Timur,Laki - Laki,2021,81.28
Sumba Timur,Laki - Laki,2022,85.69
Sumba Timur,Laki - Laki,2023,84.25
Kupang,Laki - Laki,2018,86
Kupang,Laki - Laki,2019,77.49
Kupang,Laki - Laki,2020,83.74
Kupang,Laki - Laki,2021,86.45
Kupang,Laki - Laki,2022,87.44
Kupang,Laki - Laki,2023,85.86
Timor Tengah Selatan,Laki - Laki,2018,87.81
Timor Tengah Selatan,Laki - Laki,2019,83.82
Timor Tengah Selatan,Laki - Laki,2020,86.77
Timor Tengah Selatan,Laki - Laki,2021,86.86
Timor Tengah Selatan,Laki - Laki,2022,88.63
Timor Tengah Selatan,Laki - Laki,2023,91
Timor Tengah Utara,Laki - Laki,2018,88.85
Timor Tengah Utara,Laki - Laki,2019,83.91
Timor Tengah Utara,Laki - Laki,2020,85.66
Timor Tengah Utara,Laki - Laki,2021,85.28
Timor Tengah Utara,Laki - Laki,2022,85.01
Timor Tengah Utara,Laki - Laki,2023,83.06
Belu,Laki - Laki,2018,80.89
Belu,Laki - Laki,2019,78.13
Belu,Laki - Laki,2020,82.71
Belu,Laki - Laki,2021,83.06
Belu,Laki - Laki,2022,78.13
Belu,Laki - Laki,2023,81.34
Alor,Laki - Laki,2018,75.47
Alor,Laki - Laki,2019,78.26
Alor,Laki - Laki,2020,80.82
Alor,Laki - Laki,2021,78.6
Alor,Laki - Laki,2022,79.37
Alor,Laki - Laki,2023,83.81
Lembata,Laki - Laki,2018,84.25
Lembata,Laki - Laki,2019,84.41
Lembata,Laki - Laki,2020,79.44
Lembata,Laki - Laki,2021,82.71
Lembata,Laki - Laki,2022,79.88
Lembata,Laki - Laki,2023,81.43
Flores Timur,Laki - Laki,2018,83.36
Flores Timur,Laki - Laki,2019,83.69
Flores Timur,Laki - Laki,2020,81.99
Flores Timur,Laki - Laki,2021,82.16
Flores Timur,Laki - Laki,2022,84.41
Flores Timur,Laki - Laki,2023,82.91
Sikka,Laki - Laki,2018,85
Sikka,Laki - Laki,2019,82.05
Sikka,Laki - Laki,2020,85.15
Sikka,Laki - Laki,2021,82.81
Sikka,Laki - Laki,2022,80.44
Sikka,Laki - Laki,2023,83.33
Ende,Laki - Laki,2018,84.13
Ende,Laki - Laki,2019,80.14
Ende,Laki - Laki,2020,80.11
Ende,Laki - Laki,2021,84.35
Ende,Laki - Laki,2022,81.73
Ende,Laki - Laki,2023,76.98
Ngada,Laki - Laki,2018,79.26
Ngada,Laki - Laki,2019,84.23
Ngada,Laki - Laki,2020,80.76
Ngada,Laki - Laki,2021,80.38
Ngada,Laki - Laki,2022,85.37
Ngada,Laki - Laki,2023,79.3
Manggarai,Laki - Laki,2018,82.97
Manggarai,Laki - Laki,2019,80.93
Manggarai,Laki - Laki,2020,84.28
Manggarai,Laki - Laki,2021,83.53
Manggarai,Laki - Laki,2022,84.84
Manggarai,Laki - Laki,2023,83.27
Rote Ndao,Laki - Laki,2018,85.94
Rote Ndao,Laki - Laki,2019,81.59
Rote Ndao,Laki - Laki,2020,83.71
Rote Ndao,Laki - Laki,2021,85.66
Rote Ndao,Laki - Laki,2022,84.6
Rote Ndao,Laki - Laki,2023,77.42
Manggarai Barat,Laki - Laki,2018,84.76
Manggarai Barat,Laki - Laki,2019,87.25
Manggarai Barat,Laki - Laki,2020,85.89
Manggarai Barat,Laki - Laki,2021,81.27
Manggarai Barat,Laki - Laki,2022,87.29
Manggarai Barat,Laki - Laki,2023,81.65
Sumba Tengah,Laki - Laki,2018,76.78
Sumba Tengah,Laki - Laki,2019,81.84
Sumba Tengah,Laki - Laki,2020,85.34
Sumba Tengah,Laki - Laki,2021,80.84
Sumba Tengah,Laki - Laki,2022,85.2
Sumba Tengah,Laki - Laki,2023,86.67
Sumba Barat Daya,Laki - Laki,2018,87.62
Sumba Barat Daya,Laki - Laki,2019,85.9
Sumba Barat Daya,Laki - Laki,2020,85.25
Sumba Barat Daya,Laki - Laki,2021,89.19
Sumba Barat Daya,Laki - Laki,2022,83.65
Sumba Barat Daya,Laki - Laki,2023,86.04
Nagekeo,Laki - Laki,2018,76.89
Nagekeo,Laki - Laki,2019,80.07
Nagekeo,Laki - Laki,2020,82.36
Nagekeo,Laki - Laki,2021,77.9
Nagekeo,Laki - Laki,2022,80.99
Nagekeo,Laki - Laki,2023,86.92
Manggarai Timur,Laki - Laki,2018,85.61
Manggarai Timur,Laki - Laki,2019,88.66
Manggarai Timur,Laki - Laki,2020,88.72
Manggarai Timur,Laki - Laki,2021,88.33
Manggarai Timur,Laki - Laki,2022,87.69
Manggarai Timur,Laki - Laki,2023,83.05
Sabu Raijua,Laki - Laki,2018,84.39
Sabu Raijua,Laki - Laki,2019,76.99
Sabu Raijua,Laki - Laki,2020,80.84
Sabu Raijua,Laki - Laki,2021,74.12
Sabu Raijua,Laki - Laki,2022,81.02
Sabu Raijua,Laki - Laki,2023,80.41
Malaka,Laki - Laki,2018,87.03
Malaka,Laki - Laki,2019,80.79
Malaka,Laki - Laki,2020,77.86
Malaka,Laki - Laki,2021,79.96
Malaka,Laki - Laki,2022,84.19
Malaka,Laki - Laki,2023,80.15
Kota Kupang,Laki - Laki,2018,69.55
Kota Kupang,Laki - Laki,2019,72.03
Kota Kupang,Laki - Laki,2020,74
Kota Kupang,Laki - Laki,2021,71.68
Kota Kupang,Laki - Laki,2022,69.37
Kota Kupang,Laki - Laki,2023,77.64
KALIMANTAN BARAT,Laki - Laki,2018,84.09
KALIMANTAN BARAT,Laki - Laki,2019,83.59
KALIMANTAN BARAT,Laki - Laki,2020,83.35
KALIMANTAN BARAT,Laki - Laki,2021,83.05
KALIMANTAN BARAT,Laki - Laki,2022,85.01
KALIMANTAN BARAT,Laki - Laki,2023,84.85
Sambas,Laki - Laki,2018,85.36
Sambas,Laki - Laki,2019,85.15
Sambas,Laki - Laki,2020,85.91
Sambas,Laki - Laki,2021,85.46
Sambas,Laki - Laki,2022,86.32
Sambas,Laki - Laki,2023,85.55
Bengkayang,Laki - Laki,2018,86.1
Bengkayang,Laki - Laki,2019,86.65
Bengkayang,Laki - Laki,2020,87.25
Bengkayang,Laki - Laki,2021,82.69
Bengkayang,Laki - Laki,2022,85.23
Bengkayang,Laki - Laki,2023,86.12
Landak,Laki - Laki,2018,85.34
Landak,Laki - Laki,2019,81.43
Landak,Laki - Laki,2020,84.09
Landak,Laki - Laki,2021,81.83
Landak,Laki - Laki,2022,84.53
Landak,Laki - Laki,2023,84.2
Mempawah,Laki - Laki,2018,82.59
Mempawah,Laki - Laki,2019,81.42
Mempawah,Laki - Laki,2020,80.17
Mempawah,Laki - Laki,2021,80.4
Mempawah,Laki - Laki,2022,82.36
Mempawah,Laki - Laki,2023,85.05
Sanggau,Laki - Laki,2018,85.79
Sanggau,Laki - Laki,2019,86.17
Sanggau,Laki - Laki,2020,86.07
Sanggau,Laki - Laki,2021,84.24
Sanggau,Laki - Laki,2022,87.78
Sanggau,Laki - Laki,2023,86.68
Ketapang,Laki - Laki,2018,86.83
Ketapang,Laki - Laki,2019,85.59
Ketapang,Laki - Laki,2020,82.99
Ketapang,Laki - Laki,2021,83.75
Ketapang,Laki - Laki,2022,84.29
Ketapang,Laki - Laki,2023,83.54
Sintang,Laki - Laki,2018,86.4
Sintang,Laki - Laki,2019,84.54
Sintang,Laki - Laki,2020,85.45
Sintang,Laki - Laki,2021,88.03
Sintang,Laki - Laki,2022,84.55
Sintang,Laki - Laki,2023,87.06
Kapuas Hulu,Laki - Laki,2018,85.95
Kapuas Hulu,Laki - Laki,2019,84.78
Kapuas Hulu,Laki - Laki,2020,86.06
Kapuas Hulu,Laki - Laki,2021,85.97
Kapuas Hulu,Laki - Laki,2022,87.53
Kapuas Hulu,Laki - Laki,2023,83.19
Sekadau,Laki - Laki,2018,88.57
Sekadau,Laki - Laki,2019,89.6
Sekadau,Laki - Laki,2020,89.14
Sekadau,Laki - Laki,2021,85.05
Sekadau,Laki - Laki,2022,87.06
Sekadau,Laki - Laki,2023,88.58
Melawi,Laki - Laki,2018,86.83
Melawi,Laki - Laki,2019,87.73
Melawi,Laki - Laki,2020,86.45
Melawi,Laki - Laki,2021,86.76
Melawi,Laki - Laki,2022,88.15
Melawi,Laki - Laki,2023,87.42
Kayong Utara,Laki - Laki,2018,83.91
Kayong Utara,Laki - Laki,2019,82.84
Kayong Utara,Laki - Laki,2020,83.57
Kayong Utara,Laki - Laki,2021,84.19
Kayong Utara,Laki - Laki,2022,87.77
Kayong Utara,Laki - Laki,2023,86.83
Kubu Raya,Laki - Laki,2018,83.13
Kubu Raya,Laki - Laki,2019,82.33
Kubu Raya,Laki - Laki,2020,83.57
Kubu Raya,Laki - Laki,2021,83.53
Kubu Raya,Laki - Laki,2022,81.94
Kubu Raya,Laki - Laki,2023,84.05
Kota Pontianak,Laki - Laki,2018,78.36
Kota Pontianak,Laki - Laki,2019,77.9
Kota Pontianak,Laki - Laki,2020,75.66
Kota Pontianak,Laki - Laki,2021,76.43
Kota Pontianak,Laki - Laki,2022,83.79
Kota Pontianak,Laki - Laki,2023,81.31
Kota Singkawang,Laki - Laki,2018,74.55
Kota Singkawang,Laki - Laki,2019,80.22
Kota Singkawang,Laki - Laki,2020,77.02
Kota Singkawang,Laki - Laki,2021,78.49
Kota Singkawang,Laki - Laki,2022,84.52
Kota Singkawang,Laki - Laki,2023,84.04
KALIMANTAN TENGAH,Laki - Laki,2018,85.92
KALIMANTAN TENGAH,Laki - Laki,2019,85.43
KALIMANTAN TENGAH,Laki - Laki,2020,84.67
KALIMANTAN TENGAH,Laki - Laki,2021,84.7
KALIMANTAN TENGAH,Laki - Laki,2022,85.17
KALIMANTAN TENGAH,Laki - Laki,2023,84.85
Kotawaringin Barat,Laki - Laki,2018,89.13
Kotawaringin Barat,Laki - Laki,2019,88.8
Kotawaringin Barat,Laki - Laki,2020,89.48
Kotawaringin Barat,Laki - Laki,2021,86.46
Kotawaringin Barat,Laki - Laki,2022,86.7
Kotawaringin Barat,Laki - Laki,2023,86.31
Kotawaringin Timur,Laki - Laki,2018,87.58
Kotawaringin Timur,Laki - Laki,2019,85.06
Kotawaringin Timur,Laki - Laki,2020,86.04
Kotawaringin Timur,Laki - Laki,2021,84.42
Kotawaringin Timur,Laki - Laki,2022,85.44
Kotawaringin Timur,Laki - Laki,2023,83.87
Kapuas,Laki - Laki,2018,85.46
Kapuas,Laki - Laki,2019,83.01
Kapuas,Laki - Laki,2020,85.79
Kapuas,Laki - Laki,2021,85.89
Kapuas,Laki - Laki,2022,84.04
Kapuas,Laki - Laki,2023,83.56
Barito Selatan,Laki - Laki,2018,80.49
Barito Selatan,Laki - Laki,2019,83.94
Barito Selatan,Laki - Laki,2020,81.61
Barito Selatan,Laki - Laki,2021,83.13
Barito Selatan,Laki - Laki,2022,83.46
Barito Selatan,Laki - Laki,2023,83.1
Barito Utara,Laki - Laki,2018,85.89
Barito Utara,Laki - Laki,2019,83.72
Barito Utara,Laki - Laki,2020,84.89
Barito Utara,Laki - Laki,2021,86.35
Barito Utara,Laki - Laki,2022,86.46
Barito Utara,Laki - Laki,2023,86.98
Sukamara,Laki - Laki,2018,88.71
Sukamara,Laki - Laki,2019,86.96
Sukamara,Laki - Laki,2020,82.67
Sukamara,Laki - Laki,2021,85.04
Sukamara,Laki - Laki,2022,86.77
Sukamara,Laki - Laki,2023,87.53
Lamandau,Laki - Laki,2018,84.5
Lamandau,Laki - Laki,2019,84.86
Lamandau,Laki - Laki,2020,87.43
Lamandau,Laki - Laki,2021,88.06
Lamandau,Laki - Laki,2022,85.82
Lamandau,Laki - Laki,2023,88.66
Seruyan,Laki - Laki,2018,90.48
Seruyan,Laki - Laki,2019,89.75
Seruyan,Laki - Laki,2020,80.44
Seruyan,Laki - Laki,2021,87.48
Seruyan,Laki - Laki,2022,90.76
Seruyan,Laki - Laki,2023,87.25
Katingan,Laki - Laki,2018,85.49
Katingan,Laki - Laki,2019,89.41
Katingan,Laki - Laki,2020,83.15
Katingan,Laki - Laki,2021,84.11
Katingan,Laki - Laki,2022,86.33
Katingan,Laki - Laki,2023,85.74
Pulang Pisau,Laki - Laki,2018,87.75
Pulang Pisau,Laki - Laki,2019,90.06
Pulang Pisau,Laki - Laki,2020,88.21
Pulang Pisau,Laki - Laki,2021,87.72
Pulang Pisau,Laki - Laki,2022,87.32
Pulang Pisau,Laki - Laki,2023,89.05
Gunung Mas,Laki - Laki,2018,88.81
Gunung Mas,Laki - Laki,2019,89.68
Gunung Mas,Laki - Laki,2020,88.1
Gunung Mas,Laki - Laki,2021,85.77
Gunung Mas,Laki - Laki,2022,84.01
Gunung Mas,Laki - Laki,2023,88.09
Barito Timur,Laki - Laki,2018,88.92
Barito Timur,Laki - Laki,2019,84.41
Barito Timur,Laki - Laki,2020,84.82
Barito Timur,Laki - Laki,2021,85.36
Barito Timur,Laki - Laki,2022,84.73
Barito Timur,Laki - Laki,2023,85.61
Murung Raya,Laki - Laki,2018,85.95
Murung Raya,Laki - Laki,2019,83.89
Murung Raya,Laki - Laki,2020,84.13
Murung Raya,Laki - Laki,2021,86.37
Murung Raya,Laki - Laki,2022,85.61
Murung Raya,Laki - Laki,2023,83.3
Kota Palangka Raya,Laki - Laki,2018,76.43
Kota Palangka Raya,Laki - Laki,2019,78.37
Kota Palangka Raya,Laki - Laki,2020,78.03
Kota Palangka Raya,Laki - Laki,2021,76.3
Kota Palangka Raya,Laki - Laki,2022,78.68
Kota Palangka Raya,Laki - Laki,2023,79.34
KALIMANTAN SELATAN,Laki - Laki,2018,84.22
KALIMANTAN SELATAN,Laki - Laki,2019,83.22
KALIMANTAN SELATAN,Laki - Laki,2020,82.91
KALIMANTAN SELATAN,Laki - Laki,2021,83.55
KALIMANTAN SELATAN,Laki - Laki,2022,82.97
KALIMANTAN SELATAN,Laki - Laki,2023,85.52
Tanah Laut,Laki - Laki,2018,85.27
Tanah Laut,Laki - Laki,2019,86.81
Tanah Laut,Laki - Laki,2020,87.94
Tanah Laut,Laki - Laki,2021,88.32
Tanah Laut,Laki - Laki,2022,89.92
Tanah Laut,Laki - Laki,2023,87.71
Kotabaru,Laki - Laki,2018,85.51
Kotabaru,Laki - Laki,2019,85.86
Kotabaru,Laki - Laki,2020,82.56
Kotabaru,Laki - Laki,2021,87.03
Kotabaru,Laki - Laki,2022,87.41
Kotabaru,Laki - Laki,2023,84.42
Banjar,Laki - Laki,2018,86.85
Banjar,Laki - Laki,2019,82.93
Banjar,Laki - Laki,2020,82.85
Banjar,Laki - Laki,2021,81.96
Banjar,Laki - Laki,2022,82.05
Banjar,Laki - Laki,2023,84.13
Barito Kuala,Laki - Laki,2018,90.61
Barito Kuala,Laki - Laki,2019,89.69
Barito Kuala,Laki - Laki,2020,88.98
Barito Kuala,Laki - Laki,2021,90.47
Barito Kuala,Laki - Laki,2022,86.09
Barito Kuala,Laki - Laki,2023,87.47
Tapin,Laki - Laki,2018,85.76
Tapin,Laki - Laki,2019,84.99
Tapin,Laki - Laki,2020,83.18
Tapin,Laki - Laki,2021,86.23
Tapin,Laki - Laki,2022,85.49
Tapin,Laki - Laki,2023,87.51
Hulu Sungai Selatan,Laki - Laki,2018,84.24
Hulu Sungai Selatan,Laki - Laki,2019,85.95
Hulu Sungai Selatan,Laki - Laki,2020,84.64
Hulu Sungai Selatan,Laki - Laki,2021,81.02
Hulu Sungai Selatan,Laki - Laki,2022,83.28
Hulu Sungai Selatan,Laki - Laki,2023,89.05
Hulu Sungai Tengah,Laki - Laki,2018,84.85
Hulu Sungai Tengah,Laki - Laki,2019,82.89
Hulu Sungai Tengah,Laki - Laki,2020,83.88
Hulu Sungai Tengah,Laki - Laki,2021,82.96
Hulu Sungai Tengah,Laki - Laki,2022,82.47
Hulu Sungai Tengah,Laki - Laki,2023,84.97
Hulu Sungai Utara,Laki - Laki,2018,82.72
Hulu Sungai Utara,Laki - Laki,2019,80.88
Hulu Sungai Utara,Laki - Laki,2020,82.1
Hulu Sungai Utara,Laki - Laki,2021,82.72
Hulu Sungai Utara,Laki - Laki,2022,81.68
Hulu Sungai Utara,Laki - Laki,2023,85.31
Tabalong,Laki - Laki,2018,88.41
Tabalong,Laki - Laki,2019,83.41
Tabalong,Laki - Laki,2020,81.07
Tabalong,Laki - Laki,2021,83.01
Tabalong,Laki - Laki,2022,85.42
Tabalong,Laki - Laki,2023,86.55
Tanah Bumbu,Laki - Laki,2018,83.02
Tanah Bumbu,Laki - Laki,2019,84.64
Tanah Bumbu,Laki - Laki,2020,85.78
Tanah Bumbu,Laki - Laki,2021,85.91
Tanah Bumbu,Laki - Laki,2022,84.63
Tanah Bumbu,Laki - Laki,2023,91.06
Balangan,Laki - Laki,2018,86.75
Balangan,Laki - Laki,2019,85.98
Balangan,Laki - Laki,2020,85.48
Balangan,Laki - Laki,2021,85.31
Balangan,Laki - Laki,2022,83.47
Balangan,Laki - Laki,2023,87.11
Kota Banjarmasin,Laki - Laki,2018,80.12
Kota Banjarmasin,Laki - Laki,2019,77.86
Kota Banjarmasin,Laki - Laki,2020,77.12
Kota Banjarmasin,Laki - Laki,2021,78.61
Kota Banjarmasin,Laki - Laki,2022,77.12
Kota Banjarmasin,Laki - Laki,2023,80.62
Kota Banjar Baru,Laki - Laki,2018,74.8
Kota Banjar Baru,Laki - Laki,2019,77.63
Kota Banjar Baru,Laki - Laki,2020,79.72
Kota Banjar Baru,Laki - Laki,2021,79.4
Kota Banjar Baru,Laki - Laki,2022,76.82
Kota Banjar Baru,Laki - Laki,2023,84.37
KALIMANTAN TIMUR,Laki - Laki,2018,82.06
KALIMANTAN TIMUR,Laki - Laki,2019,83.04
KALIMANTAN TIMUR,Laki - Laki,2020,81.52
KALIMANTAN TIMUR,Laki - Laki,2021,81.35
KALIMANTAN TIMUR,Laki - Laki,2022,82.74
KALIMANTAN TIMUR,Laki - Laki,2023,82.82
Paser,Laki - Laki,2018,85.73
Paser,Laki - Laki,2019,85.08
Paser,Laki - Laki,2020,83.94
Paser,Laki - Laki,2021,82.63
Paser,Laki - Laki,2022,82.09
Paser,Laki - Laki,2023,86.02
Kutai Barat,Laki - Laki,2018,85.01
Kutai Barat,Laki - Laki,2019,82.45
Kutai Barat,Laki - Laki,2020,83.79
Kutai Barat,Laki - Laki,2021,86.52
Kutai Barat,Laki - Laki,2022,84.05
