Kepolisian Daerah,Tahun,Jumlah Tindak Pidana Menurut Kepolisian Daerah
SULAWESI TENGGARA,2018,1263
SULAWESI TENGGARA,2019,1213
SULAWESI TENGGARA,2020,2148
SULAWESI TENGGARA,2021,2431
SULAWESI TENGGARA,2022,3828
GORONTALO,2016,3763
GORONTALO,2017,3099
GORONTALO,2018,2836
GORONTALO,2019,2367
GORONTALO,2020,2518
GORONTALO,2021,2445
GORONTALO,2022,2488
SULAWESI BARAT,2016,-
SULAWESI BARAT,2017,1841
SULAWESI BARAT,2018,1817
SULAWESI BARAT,2019,1863
SULAWESI BARAT,2020,1704
SULAWESI BARAT,2021,1500
SULAWESI BARAT,2022,2027
MALUKU,2016,2559
MALUKU,2017,3086
MALUKU,2018,2751
MALUKU,2019,3495
MALUKU,2020,5350
MALUKU,2021,3139
MALUKU,2022,2383
MALUKU UTARA,2016,1096
MALUKU UTARA,2017,789
MALUKU UTARA,2018,722
MALUKU UTARA,2019,718
MALUKU UTARA,2020,850
MALUKU UTARA,2021,1008
MALUKU UTARA,2022,1220
PAPUA BARAT,2016,8103
PAPUA BARAT,2017,2284
PAPUA BARAT,2018,3475
PAPUA BARAT,2019,2972
PAPUA BARAT,2020,3162
PAPUA BARAT,2021,2784
PAPUA BARAT,2022,4083
PAPUA,2016,3123
PAPUA,2017,6785
PAPUA,2018,7311
PAPUA,2019,6994
PAPUA,2020,6962
PAPUA,2021,6236
PAPUA,2022,7584
INDONESIA,2016,357197
INDONESIA,2017,336652
INDONESIA,2018,294281
INDONESIA,2019,269324
INDONESIA,2020,247218
INDONESIA,2021,239481
INDONESIA,2022,372897
