Penduduk Bekerja dan Pengangguran,Jumlah dan Persentase Penduduk Bekerja dan Pengangguran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Penduduk Bekerja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pengangguran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2011,,,2012,,,2013,,,2014,,,2015,,,2016,,,2017,,,2018,,,2019,,,2020,,,2021,,,2022,,,2023,,,2024,,,2011,,,2012,,,2013,,,2014,,,2015,,,2016,,,2017,,,2018,,,2019,,,2020,,,2021,,,2022,,,2023,,,2024,,
Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,
Persentase (%),93.04,92.52,-,93.63,93.87,-,94.12,93.83,-,94.3,94.06,-,94.19,93.82,-,94.5,94.39,-,94.67,94.5,-,94.9,94.7,-,95.02,94.77,-,95.06,92.93,-,93.74,93.51,-,94.17,94.14,-,94.55,94.68,-,95.18,-,-,6.96,7.48,-,6.37,6.13,-,5.88,6.17,-,5.7,5.94,-,5.81,6.18,-,5.5,5.61,-,5.33,5.5,-,5.1,5.3,-,4.98,5.23,-,4.94,7.07,-,6.26,6.49,-,5.83,5.86,-,5.45,5.32,-,4.82,-,-
Jumlah (Ribu orang),112045.88,107416.31,-,114061.98,112504.87,-,115929.61,112761.07,-,118169.92,114628.03,-,120846.82,114819.2,-,120647.7,118411.97,-,124538.85,121022.42,-,129479.54,126282.19,-,131692.59,128755.27,-,133292.87,128454.18,-,131064.31,131050.52,-,135611.9,135296.71,-,138632.51,139852.4,-,142179,-,-,8379.88,8681.39,-,7757.83,7344.87,-,7240.9,7410.93,-,7147.07,7244.91,-,7454.77,7560.82,-,7024.17,7031.78,-,7005.26,7040.32,-,6963.46,7073.39,-,6898.8,7104.42,-,6925.49,9767.75,-,8746.01,9102.05,-,8402.15,8425.93,-,7989.28,7855.08,-,7195,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catatan,Tahun 2011-2013 merupakan hasil backcasting yang dibobot dengan proyeksi penduduk 2010-2035,Sejak 2014 perkiraan itu ditimbang dengan proyeksi penduduk 2010-2035,Tahun 2018-2019 merupakan hasil backcasting yang dibobot dengan proyeksi penduduk 2015-2045 (SUPAS 2015),Tahun 2020 perkiraan dibobot dengan proyeksi penduduk 2015-2045 (SUPAS 2015) <br />,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
