SEKTOR,TAHUN,RATA UPAH (RUPIAH / BULAN)
"PENYEDIAAN AKOMODASI DAN MAKAN MINUM 			",2019,2304219
"PENYEDIAAN AKOMODASI DAN MAKAN MINUM 			",2020,2108790
"PENYEDIAAN AKOMODASI DAN MAKAN MINUM 			",2021,1964340.5
"PENYEDIAAN AKOMODASI DAN MAKAN MINUM 			",2022,2217520
"PENYEDIAAN AKOMODASI DAN MAKAN MINUM 			",2023,2285154.5
"INFORMASI DAN KOMUNIKASI			",2016,3542342.5
"INFORMASI DAN KOMUNIKASI			",2017,4304502.5
"INFORMASI DAN KOMUNIKASI			",2018,4064805
"INFORMASI DAN KOMUNIKASI			",2019,4181070
"INFORMASI DAN KOMUNIKASI			",2020,4009323
"INFORMASI DAN KOMUNIKASI			",2021,4089312.5
"INFORMASI DAN KOMUNIKASI			",2022,4953130.5
"INFORMASI DAN KOMUNIKASI			",2023,4745864.5
"AKTIVITAS KEUANGAN DAN ASURANSI			",2016,3570055.5
"AKTIVITAS KEUANGAN DAN ASURANSI			",2017,4103617
"AKTIVITAS KEUANGAN DAN ASURANSI			",2018,4255213
"AKTIVITAS KEUANGAN DAN ASURANSI			",2019,4176325.5
"AKTIVITAS KEUANGAN DAN ASURANSI			",2020,4149925
"AKTIVITAS KEUANGAN DAN ASURANSI			",2021,4140023
"AKTIVITAS KEUANGAN DAN ASURANSI			",2022,4930393.5
"AKTIVITAS KEUANGAN DAN ASURANSI			",2023,4960739.5
"REAL ESTATE		",2016,3821336
"REAL ESTATE		",2017,3196407.5
"REAL ESTATE		",2018,3333105
"REAL ESTATE		",2019,3687856
"REAL ESTATE		",2020,3410555
"REAL ESTATE		",2021,3553906.5
"REAL ESTATE		",2022,4308919.5
"REAL ESTATE		",2023,4540289
"JASA PROFESIONAL DAN PERUSAHAAN			",2016,2884041.5
"JASA PROFESIONAL DAN PERUSAHAAN			",2017,3394435.5
"JASA PROFESIONAL DAN PERUSAHAAN			",2018,3324501
