Year,Data Inflasi
2016,3.5308333333333333
2017,3.8091666666666666
2018,3.1975
2019,3.029166666666667
2020,2.035833333333333
2021,1.5599999999999998
2022,4.2058333333333335
2023,3.685833333333333
