38 Provinsi,Gini Ratio Menurut Provinsi dan Daerah,,,,,,,,,,,,,,,,,,,,,,,
,Perkotaan,,,,,,,,Perdesaan,,,,,,,,Perkotaan+Perdesaan,,,,,,,
,2016,2017,2018,2019,2020,2021,2022,2023,2016,2017,2018,2019,2020,2021,2022,2023,2016,2017,2018,2019,2020,2021,2022,2023
Semester 1 (Maret),Semester 1 (Maret),Semester 1 (Maret),Semester 1 (Maret),Semester 1 (Maret),Semester 1 (Maret),Semester 1 (Maret),Semester 1 (Maret),Semester 1 (Maret),Semester 1 (Maret),Semester 1 (Maret),Semester 1 (Maret),Semester 1 (Maret),Semester 1 (Maret),Semester 1 (Maret),Semester 1 (Maret),Semester 1 (Maret),Semester 1 (Maret),Semester 1 (Maret),Semester 1 (Maret),Semester 1 (Maret),Semester 1 (Maret),Semester 1 (Maret),Semester 1 (Maret),
SULAWESI SELATAN,0.422,0.41,0.392,0.394,0.384,0.392,0.388,0.386,0.367,0.348,0.361,0.345,0.356,0.338,0.336,0.339,0.426,0.407,0.397,0.389,0.389,0.382,0.377,0.377
SULAWESI TENGGARA,0.407,0.403,0.42,0.406,0.404,0.411,0.404,0.393,0.367,0.358,0.37,0.361,0.347,0.347,0.352,0.338,0.402,0.394,0.409,0.399,0.389,0.39,0.387,0.371
GORONTALO,0.414,0.417,0.39,0.392,0.393,0.398,0.409,0.403,0.392,0.403,0.383,0.388,0.392,0.397,0.395,0.403,0.419,0.43,0.403,0.407,0.408,0.408,0.418,0.417
SULAWESI BARAT,0.393,0.424,0.421,0.445,0.436,0.446,0.448,0.452,0.347,0.323,0.335,0.317,0.321,0.321,0.322,0.308,0.364,0.354,0.37,0.365,0.364,0.356,0.362,0.351
MALUKU,0.327,0.333,0.314,0.3,0.295,0.301,0.297,0.288,0.313,0.312,0.291,0.286,0.284,0.258,0.259,0.247,0.348,0.343,0.343,0.324,0.318,0.314,0.301,0.288
MALUKU UTARA,0.295,0.322,0.345,0.31,0.297,0.298,0.3,0.326,0.249,0.265,0.266,0.256,0.266,0.265,0.247,0.269,0.286,0.317,0.328,0.312,0.308,0.3,0.279,0.3
PAPUA BARAT,0.326,0.349,0.331,0.325,0.32,0.322,0.294,0.282,0.376,0.392,0.424,0.419,0.414,0.407,0.411,0.418,0.373,0.39,0.394,0.386,0.382,0.38,0.37,0.37
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PAPUA,0.312,0.322,0.312,0.297,0.296,0.301,0.315,0.3,0.383,0.395,0.384,0.409,0.414,0.422,0.427,0.403,0.39,0.397,0.384,0.394,0.392,0.397,0.406,0.386
PAPUA SELATAN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
INDONESIA,0.41,0.407,0.401,0.392,0.393,0.401,0.403,0.409,0.327,0.32,0.324,0.317,0.317,0.315,0.314,0.313,0.397,0.393,0.389,0.382,0.381,0.384,0.384,0.388
,,,,,,,,,,,,,,,,,,,,,,,,
Catatan,"<br /><br /><br />Sumber  : BPS, Susenas  	  	  	  	  	  ","<br /><br /><br /><br /><ul><li>Tahun 2002, Susenas Modul Konsumsi reguler</li>","<li>Tahun 2005, Susenas Panel (Februari)</li>","<li>Tahun 2006-2010, Susenas Panel (Maret)</li>","<li>Tahun 2011-2016, Susenas Modul Konsumsi (Maret &amp; September)</li><li>Angka Provinsi Papua Barat dan Papua sebelum tahun 2024 merupakan angka provinsi sebelum mengalami pemekaran Daerah Otonom Baru (DOB)<br /></li></ul>",,,,,,,,,,,,,,,,,,,
