38 Provinsi,Gini Ratio Menurut Provinsi dan Daerah,,,,,,,,,,,,,,,,,,,,,,,	
,Perkotaan+Perdesaan,,,,,,,,,,,,,,,,,,,,,,,	
,2016,,,2017,,,2018,,,2019,,,2020,,,2021,,,2022,,,2023,,	
SULAWESI TENGGARA,0.402,0.388,-,0.394,0.404,-,0.409,0.392,-,0.399,0.393,-,0.389,0.388,-,0.39,0.394,-,0.387,0.366,-,0.371,-,-	
GORONTALO,0.419,0.41,-,0.43,0.405,-,0.403,0.417,-,0.407,0.41,-,0.408,0.406,-,0.408,0.409,-,0.418,0.423,-,0.417,-,-	
SULAWESI BARAT,0.364,0.371,-,0.354,0.339,-,0.37,0.366,-,0.365,0.365,-,0.364,0.356,-,0.356,0.366,-,0.362,0.371,-,0.351,-,-	
MALUKU,0.348,0.344,-,0.343,0.321,-,0.343,0.326,-,0.324,0.32,-,0.318,0.326,-,0.314,0.316,-,0.301,0.306,-,0.288,-,-	
MALUKU UTARA,0.286,0.309,-,0.317,0.33,-,0.328,0.336,-,0.312,0.31,-,0.308,0.29,-,0.3,0.278,-,0.279,0.309,-,0.3,-,-	
PAPUA BARAT,0.373,0.401,-,0.39,0.387,-,0.394,0.391,-,0.386,0.381,-,0.382,0.376,-,0.38,0.374,-,0.37,0.384,-,0.37,-,-	
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-	
PAPUA,0.39,0.399,-,0.397,0.398,-,0.384,0.398,-,0.394,0.391,-,0.392,0.395,-,0.397,0.396,-,0.406,0.393,-,0.386,-,-	
PAPUA SELATAN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-	
PAPUA TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-	
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-	
INDONESIA,0.397,0.394,-,0.393,0.391,-,0.389,0.384,-,0.382,0.38,-,0.381,0.385,-,0.384,0.381,-,0.384,0.381,-,0.388,-,-	
,,,,,,,,,,,,,,,,,,,,,,,,	
"Catatan,""<br /><br /><br />Sumber  : BPS, Susenas  	  	  	  	  	  "",""<br /><br /><br /><br /><ul><li>Tahun 2002, Susenas Modul Konsumsi reguler</li>"",""<li>Tahun 2005, Susenas Panel (Februari)</li>"",""<li>Tahun 2006-2010, Susenas Panel (Maret)</li>"",""<li>Tahun 2011-2016, Susenas Modul Konsumsi (Maret &amp"	 September)</li><li>Angka Provinsi Papua Barat dan Papua sebelum tahun 2024 merupakan angka provinsi sebelum mengalami pemekaran Daerah Otonom Baru (DOB)<br /></li></ul>",,,,,,,,,,,,,,,,,,,
